data gatherer,Genus,Species,Family,Realm,Kingdom,Phylum,Class,Order,"maximum body size (SVL, HBL, cm)",Source for maximum body size,notes on body size (e.g. type of metric),Trophic position,Source/logic for trophic position,migratory?,source/logic for migration info,dispersal distance category,logic/source for dispersal distance,dispersal type (walking may need to be reworded to something that encaptures slithering),logic/source for dispersal type,cold season dormancy?,source/logic for cold season dormancy,notes for cold season dormancy,hot season dormancy?,source/logic for hot season dormancy,notes for hot season dormancy,highland specialist,source/logic for highland specialist,Pelagic habitat (for marine species),source/logic for pelagic habitat,notes,genus_species,limit_type
Ignacio,Liolaemus,chacoensis,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,5.5,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,No,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_chacoensis,"max, min"
Ignacio,Liolaemus,chiliensis,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,9.5,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Meiri, S., Bauer, A. M., Chirio, L., Colli, G. R., Das, I., Doan, T. M., ... & Van Damme, R. (2013). Are lizards feeling the heat? A tale of ecology and evolution under two temperatures. Global Ecology and Biogeography, 22(7), 834-845.",active during summer,No,I have found no evidence of aestivation within this species subset,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_chiliensis,min
Ignacio,Liolaemus,constanzae,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,6.2,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate (desert),,No,I have found no evidence of aestivation within this species subset,,highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_constanzae,min
Ignacio,Liolaemus,curis,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,8.7,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Acosta, J. C., Alés, R. G., Blanco, G., Escudero, P. C., & Avila, L. J. (2020). General Ecology of Patagonian Lizards. In Lizards of Patagonia (pp. 293-334). Springer, Cham.",,No,I have found no evidence of aestivation within this species subset,,highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_curis,min
Ignacio,Liolaemus,cuyanus,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,10.2,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,No,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_cuyanus,"max, min"
Ignacio,Liolaemus,cyanogaster,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,6.2,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Acosta, J. C., Alés, R. G., Blanco, G., Escudero, P. C., & Avila, L. J. (2020). General Ecology of Patagonian Lizards. In Lizards of Patagonia (pp. 293-334). Springer, Cham.",,No,I have found no evidence of aestivation within this species subset,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_cyanogaster,min
Ignacio,Liolaemus,darwinii,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,6.9,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,No,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_darwinii,"max, min"
Ignacio,Liolaemus,eleodori,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,7.65,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate,,No,I have found no evidence of aestivation within this species subset,,highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_eleodori,min
Ignacio,Liolaemus,elongatus,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,9.1,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,No,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_elongatus,"max, min"
Ignacio,Liolaemus,fabiani,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,7.37,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,"Meiri, S., Bauer, A. M., Chirio, L., Colli, G. R., Das, I., Doan, T. M., ... & Van Damme, R. (2013). Are lizards feeling the heat? A tale of ecology and evolution under two temperatures. Global Ecology and Biogeography, 22(7), 834-845.","activity period marked as ""all""",No,I have found no evidence of aestivation within this species subset,,highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_fabiani,min
Ignacio,Liolaemus,fitzgeraldi,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,5.8,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Aguilar, P. M., Labra, A., & Niemeyer, H. M. (2009). Chemical self-recognition in the lizard Liolaemus fitzgeraldi. Journal of ethology, 27(1), 181-184.",refers to post-hibernation state,No,I have found no evidence of aestivation within this species subset,,highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_fitzgeraldi,min
Ignacio,Liolaemus,fitzingerii,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,10.8,Meiri 2008,max adult SVL,herbivore,Espinoza et al. 2004,No,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_fitzingerii,"max, min"
Ignacio,Liolaemus,fuscus,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,4.73,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Stellatelli, O. A., Block, C., Moreno-Azócar, D. L., Vega, L. E., Isacch, J. P., & Cruz, F. B. (2016). Scale dependency of Liolaemus lizards’ home range in response to different environmental variables. Current Zoology, 62(6), 521-530.",walking,Squamate walking tetrapod,Yes,"Medel, R. G. (1992). Costs and benefits of tail loss: assessing economy of autotomy in two lizard species of central Chile. Revista Chilena de Historia Natural, 65, 357-361.",refers to short vs long hibernation periods,No,I have found no evidence of aestivation within this species subset,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_fuscus,min
Ignacio,Liolaemus,hellmichi,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,3.5,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,"Meiri, S., Bauer, A. M., Chirio, L., Colli, G. R., Das, I., Doan, T. M., ... & Van Damme, R. (2013). Are lizards feeling the heat? A tale of ecology and evolution under two temperatures. Global Ecology and Biogeography, 22(7), 834-845.","activity period marked as ""all""",No,I have found no evidence of aestivation within this species subset,,highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_hellmichi,min
Ignacio,Liolaemus,irregularis,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,9,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,No,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_irregularis,"max, min"
Ignacio,Liolaemus,jamesi,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,9.4,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,"Meiri, S., Bauer, A. M., Chirio, L., Colli, G. R., Das, I., Doan, T. M., ... & Van Damme, R. (2013). Are lizards feeling the heat? A tale of ecology and evolution under two temperatures. Global Ecology and Biogeography, 22(7), 834-845.","activity period marked as ""all""",No,I have found no evidence of aestivation within this species subset,,highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_jamesi,min
Ignacio,Liolaemus,kingii,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,10,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,No,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_kingii,"max, min"
Ignacio,Liolaemus,koslowskyi,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,8.2,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,No,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_koslowskyi,"max, min"
Ignacio,Liolaemus,kriegi,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,11.5,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,No,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_kriegi,"max, min"
Ignacio,Liolaemus,laurenti,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,7.3,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,No,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_laurenti,"max, min"
Ignacio,Liolaemus,lemniscatus,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,5.4,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Stellatelli, O. A., Block, C., Moreno-Azócar, D. L., Vega, L. E., Isacch, J. P., & Cruz, F. B. (2016). Scale dependency of Liolaemus lizards’ home range in response to different environmental variables. Current Zoology, 62(6), 521-530.",walking,Squamate walking tetrapod,Yes,"Acosta, J. C., Alés, R. G., Blanco, G., Escudero, P. C., & Avila, L. J. (2020). General Ecology of Patagonian Lizards. In Lizards of Patagonia (pp. 293-334). Springer, Cham.",,No,I have found no evidence of aestivation within this species subset,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_lemniscatus,min
Ignacio,Liolaemus,leopardinus,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,9.4,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Stellatelli, O. A., Block, C., Moreno-Azócar, D. L., Vega, L. E., Isacch, J. P., & Cruz, F. B. (2016). Scale dependency of Liolaemus lizards’ home range in response to different environmental variables. Current Zoology, 62(6), 521-530.",walking,Squamate walking tetrapod,Yes,"Meiri, S., Bauer, A. M., Chirio, L., Colli, G. R., Das, I., Doan, T. M., ... & Van Damme, R. (2013). Are lizards feeling the heat? A tale of ecology and evolution under two temperatures. Global Ecology and Biogeography, 22(7), 834-845.",active during summer,No,I have found no evidence of aestivation within this species subset,,highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_leopardinus,min
Ignacio,Liolaemus,lorenzmuelleri,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,7.9,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Meiri, S., Bauer, A. M., Chirio, L., Colli, G. R., Das, I., Doan, T. M., ... & Van Damme, R. (2013). Are lizards feeling the heat? A tale of ecology and evolution under two temperatures. Global Ecology and Biogeography, 22(7), 834-845.",active during summer,No,I have found no evidence of aestivation within this species subset,,highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_lorenzmuelleri,min
Ignacio,Liolaemus,melanops,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,9.9,Meiri 2008,max adult SVL,herbivore,Espinoza et al. 2004,No,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_melanops,"max, min"
Ignacio,Liolaemus,monticola,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,6.185,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Stellatelli, O. A., Block, C., Moreno-Azócar, D. L., Vega, L. E., Isacch, J. P., & Cruz, F. B. (2016). Scale dependency of Liolaemus lizards’ home range in response to different environmental variables. Current Zoology, 62(6), 521-530.",walking,Squamate walking tetrapod,Yes,"Acosta, J. C., Alés, R. G., Blanco, G., Escudero, P. C., & Avila, L. J. (2020). General Ecology of Patagonian Lizards. In Lizards of Patagonia (pp. 293-334). Springer, Cham.",,No,I have found no evidence of aestivation within this species subset,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_monticola,min
Ignacio,Liolaemus,multicolor,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,7.6,Meiri 2008,max adult SVL,herbivore,Espinoza et al. 2004,No,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_multicolor,"max, min"
Ignacio,Liolaemus,multimaculatus,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,7.23,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,No,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Kacoliris, F. P., Williams, J. D., De Arcaute, C. R., & Cassino, C. (2009). Home range size and overlap in Liolaemus multimaculatus (Squamata: Liolamidae) in pampean coastal dunes of Argentina. South American Journal of Herpetology, 4(3), 229-234.",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_multimaculatus,"max, min"
Ignacio,Liolaemus,nigromaculatus,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,9.3,Meiri 2008,max adult SVL,herbivore,Espinoza et al. 2004,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Meiri, S., Bauer, A. M., Chirio, L., Colli, G. R., Das, I., Doan, T. M., ... & Van Damme, R. (2013). Are lizards feeling the heat? A tale of ecology and evolution under two temperatures. Global Ecology and Biogeography, 22(7), 834-845.",active during summer,No,I have found no evidence of aestivation within this species subset,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_nigromaculatus,min
Ignacio,Liolaemus,nigroviridis,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,6.705,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Meiri, S., Bauer, A. M., Chirio, L., Colli, G. R., Das, I., Doan, T. M., ... & Van Damme, R. (2013). Are lizards feeling the heat? A tale of ecology and evolution under two temperatures. Global Ecology and Biogeography, 22(7), 834-845.",active during summer,No,I have found no evidence of aestivation within this species subset,,highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_nigroviridis,min
Ignacio,Liolaemus,nitidus,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,8.885,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Stellatelli, O. A., Block, C., Moreno-Azócar, D. L., Vega, L. E., Isacch, J. P., & Cruz, F. B. (2016). Scale dependency of Liolaemus lizards’ home range in response to different environmental variables. Current Zoology, 62(6), 521-530.",walking,Squamate walking tetrapod,Yes,"Acosta, J. C., Alés, R. G., Blanco, G., Escudero, P. C., & Avila, L. J. (2020). General Ecology of Patagonian Lizards. In Lizards of Patagonia (pp. 293-334). Springer, Cham.",,No,I have found no evidence of aestivation within this species subset,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_nitidus,min
Ignacio,Liolaemus,olongasta,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,6.7,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,No,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_olongasta,"max, min"
Ignacio,Liolaemus,ornatus,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,6.46,Abdala 2005,NA,"insectivore, omnivore",Labra 2012,non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Stellatelli, O. A., Block, C., Moreno-Azócar, D. L., Vega, L. E., Isacch, J. P., & Cruz, F. B. (2016). Scale dependency of Liolaemus lizards’ home range in response to different environmental variables. Current Zoology, 62(6), 521-530.",walking,Squamate walking tetrapod,No,"Meiri, S., Bauer, A. M., Chirio, L., Colli, G. R., Das, I., Doan, T. M., ... & Van Damme, R. (2013). Are lizards feeling the heat? A tale of ecology and evolution under two temperatures. Global Ecology and Biogeography, 22(7), 834-845.","activity period marked as ""all""",No,I have found no evidence of aestivation within this species subset,,highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_ornatus,min
Ignacio,Liolaemus,petrophilus,Iguanidae,Terrestrial,Animalia,Chordata,Reptilia,Squamata,10,Meiri 2008,max adult SVL,"insectivore, omnivore",Labra 2012,No,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,Liolaemus_petrophilus,"max, min"
