Realm,Genus,Species,data_gatherer,habitat_data_gatherer,Kingdom,Phylum,Class,Order,Family,maximum_body_size_SVL_HBL_cm_,Source_for_maximum_body_size,notes_on_body_size_e_g_type_of_metric_,Trophic_position,Source_logic_for_trophic_position,migratory_,source_logic_for_migration_info,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_,logic_source_for_dispersal_type,cold_season_dormancy_,source_logic_for_cold_season_dormancy,notes_for_cold_season_dormancy,hot_season_dormancy_,source_logic_for_hot_season_dormancy,notes_for_hot_season_dormancy,highland_specialist,source_logic_for_highland_specialist,coastal_or_oceanic,notes_logic,coastal_or_oceanic_source,upper_depth_limit,lower_depth_limit,usual_range,depth_distribution_source,lower_elevation_limit_meters,upper_elevation_limit_meters,elevational_range_source,pelagic_habitat_for_marine_species,source_logic_for_pelagic_habitat,genus_species,limit_type,notes,newly_added
Terrestrial,Takydromus,formosanus,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Lacertidae,NA,NA,NA,insectivore,guess based on others in genus,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"no info except ""limited dispersal ability""- Tseng, S. P., Li, S. H., Hsieh, C. H., Wang, H. Y., & Lin, S. M. (2014). Influence of gene flow on divergence dating–implications for the speciation history of Takydromus grass lizards. Molecular Ecology, 23(19), 4770-4784.",slithering,Squamate slithering tetrapod,Yes,no info - based on congeners,,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,1500,IUCN,NA,terrestrial,Takydromus_formosanus,"max, min",NA,NA
Terrestrial,Takydromus,hsuehshanensis,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Lacertidae,7,Huang et al. (2014) Oecologia 175(1): 25-35,max adult SVL,insectivore,guess based on others in genus,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"no info except ""limited dispersal ability""- Tseng, S. P., Li, S. H., Hsieh, C. H., Wang, H. Y., & Lin, S. M. (2014). Influence of gene flow on divergence dating–implications for the speciation history of Takydromus grass lizards. Molecular Ecology, 23(19), 4770-4784.",slithering,Squamate slithering tetrapod,Yes,"Chen, Y. H., Tu, M. C., & Huang, S. P. (2013). Synergistic limits to the altitudinal distribution of a high-altitude lizard, takydromus hsuehshanensis. Zoological science, 30(1), 15-20.",long winter hibernation at high altitude,No,no info - based on climate,,highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,1800,3000,IUCN,NA,terrestrial,Takydromus_hsuehshanensis,"max, min",NA,NA
Terrestrial,Takydromus,septentrionalis,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Lacertidae,8,Du et al. (2005) Biological Journal of the Linnean Society 85(4): 443-453,max adult SVL,insectivore,Xiang et al. (1996) Journal of Thermal Biology 21(3): 155-161,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"no info except ""limited dispersal ability""- Tseng, S. P., Li, S. H., Hsieh, C. H., Wang, H. Y., & Lin, S. M. (2014). Influence of gene flow on divergence dating–implications for the speciation history of Takydromus grass lizards. Molecular Ecology, 23(19), 4770-4784.",slithering,Squamate slithering tetrapod,Yes,"Yong-pu, Z. H. A. N. G. (2003). Food Habits of the Grass Lizard (Takydromus Septentrionalis) before and after Hibernation in Taishun, Zhejiang. Journal of Wenzhou Teachers College, (5), 18.",hibernation,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,1700,IUCN,NA,terrestrial,Takydromus_septentrionalis,"max, min",NA,NA
Terrestrial,Takydromus,sexlineatus,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Lacertidae,6,Zhang et al. (2004) Journal of thermal Biology 29(1): 45-53,max adult SVL,insectivore,guess based on others in genus,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"no info except ""limited dispersal ability""- Tseng, S. P., Li, S. H., Hsieh, C. H., Wang, H. Y., & Lin, S. M. (2014). Influence of gene flow on divergence dating–implications for the speciation history of Takydromus grass lizards. Molecular Ecology, 23(19), 4770-4784.",slithering,Squamate slithering tetrapod,Yes,no info - based on congeners,,No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Takydromus_sexlineatus,"max, min",NA,NA
Terrestrial,Takydromus,stejnegeri,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Lacertidae,NA,NA,NA,insectivore,guess based on others in genus,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"no info except ""limited dispersal ability""- Tseng, S. P., Li, S. H., Hsieh, C. H., Wang, H. Y., & Lin, S. M. (2014). Influence of gene flow on divergence dating–implications for the speciation history of Takydromus grass lizards. Molecular Ecology, 23(19), 4770-4784.",slithering,Squamate slithering tetrapod,Yes,no info - based on congeners,,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,1000,IUCN,NA,terrestrial,Takydromus_stejnegeri,"max, min",NA,NA
Terrestrial,Tarentola,boettgeri,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,6,Meiri 2008,max adult SVL,insectivore,10.1093/sysbio/40.2.172,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,"no info - based on climate (semi-arid, Portugal)",,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,1000,IUCN,NA,terrestrial,Tarentola_boettgeri,"max, min",NA,NA
Terrestrial,Teratoscincus,przewalskii,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,9.7,Meiri 2008,max adult SVL,insectivore,10.1890/0012-9658(2002)083[1870:LHRREO]2.0.CO;2,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Meiri, S., Bauer, A. M., Chirio, L., Colli, G. R., Das, I., Doan, T. M., ... & Van Damme, R. (2013). Are lizards feeling the heat? A tale of ecology and evolution under two temperatures. Global Ecology and Biogeography, 22(7), 834-845.",active during summer,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,500,2000,IUCN,NA,terrestrial,Teratoscincus_przewalskii,min,NA,NA
Terrestrial,Thamnophis,butleri,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Colubridae,73.7,ADW U of Michigan,max total body length,carnivore,ADW U of Michigan,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Shonfield, J., King, W., & Koski, W. R. (2019). HABITAT USE AND MOVEMENT PATTERNS OF BUTLER’S GARTERSNAKE (THAMNOPHIS BUTLERI) IN SOUTHWESTERN ONTARIO, CANADA. Herpetological Conservation and Biology, 14(3), 680-690.",slithering,Squamate slithering tetrapod,Yes,"Shonfield, J., King, W., & Koski, W. R. (2019). HABITAT USE AND MOVEMENT PATTERNS OF BUTLER’S GARTERSNAKE (THAMNOPHIS BUTLERI) IN SOUTHWESTERN ONTARIO, CANADA. Herpetological Conservation and Biology, 14(3), 680-690.",hibernates,No,no info - based on climate,,non-highland specialist,"Wallach, V., Williams, K. L., & Boundy, J. (2014). Snakes of the world: a catalogue of living and extinct species. CRC press.",NA,terrestrial,NA,NA,NA,NA,terrestrial,0,500,Snake Database,NA,terrestrial,Thamnophis_butleri,min,NA,NA
Terrestrial,Thamnophis,elegans,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Colubridae,107,ADW U of Michigan,average total body length,carnivore,ADW U of Michigan,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",1-10,"Manier, M. K., & Arnold, S. J. (2005). Population genetic analysis identifies source–sink dynamics for two sympatric garter snake species (Thamnophis elegans and Thamnophis sirtalis). Molecular ecology, 14(13), 3965-3976.",slithering,Squamate slithering tetrapod,Yes,"Bronikowski, A. M., & Arnold, S. J. (1999). The evolutionary ecology of life history variation in the garter snake Thamnophis elegans. Ecology, 80(7), 2314-2325.",hibernation,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,3200,Snake Database,NA,terrestrial,Thamnophis_elegans,"max, min",NA,NA
Terrestrial,Thamnophis,marcianus,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Colubridae,NA,NA,NA,carnivore,ADW,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",slithering,Squamate slithering tetrapod,Yes,"Bryant, T. D. (2004). The effects of habitat complexity on the foraging ability of the checkered garter snake, Thamnophis marcianus marcianus,(Baird and Girard) (Doctoral dissertation, The University of Texas at Arlington).",hibernates,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2200,IUCN,NA,terrestrial,Thamnophis_marcianus,min,NA,NA
Terrestrial,Thamnophis,melanogaster,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Colubridae,36.5,Drummond and Garcia (1989) Behavior 108(1/2): 23-43,max adult SVL,carnivore,Manjarrez et al. (2012) Journal of Herpetology 47(3):413-420,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",slithering,Squamate slithering tetrapod,Yes,"Manjarrez, J., & San-Roman-Apolonio, E. (2015). Timing of birth and body condition in neonates of two gartersnake species from Central Mexico. Herpetologica, 71(1), 12-18.",hibernates,No,no info - based on climate,,highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,1150,2550,Snake Database,NA,terrestrial,Thamnophis_melanogaster,min,NA,NA
Terrestrial,Thamnophis,ordinoides,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Colubridae,69.5,Kirk (1979). Thamnophis ordinoides. Catalogue of American Amphibians and Reptiles (CAAR).z,max adult SVL,carnivore,ADW,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",1-10,NatureServe Explorer,slithering,Squamate slithering tetrapod,Yes,"Stewart, G. R. (1968). Some observations on the natural history of two Oregon garter snakes (genus Thamnophis). Journal of herpetology, 71-86.",hibernation,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,1400,Snake Database,NA,terrestrial,Thamnophis_ordinoides,"max, min",NA,NA
Terrestrial,Thamnophis,radix,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Colubridae,109.5,ADW U of Michigan,max total body length,carnivore,ADW U of Michigan,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",1-10,"Tuttle, K. (2007). Natural history of the Plains garter snake (Thamnophis radix) at the northern limit of its range in Alberta, Canada (Doctoral dissertation).",slithering,Squamate slithering tetrapod,Yes,"Cieslak, E. S. (1945). Relations between the reproductive cycle and the pituitary gland in the snake Thamnophis radix. Physiological Zoology, 18(3), 299-329.",hibernates,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2000,Snake Database,NA,terrestrial,Thamnophis_radix,min,NA,NA
Terrestrial,Thamnophis,sirtalis,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Colubridae,137,ADW U of Michigan,max total body length,carnivore,ADW U of Michigan,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",10-100,"Gregory, P. T., & Stewart, K. W. (1975). Long-distance dispersal and feeding strategy of the red-sided garter snake (Thamnophis sirtalis parietalis) in the Interlake of Manitoba. Canadian Journal of Zoology, 53(3), 238-245.",slithering,Squamate slithering tetrapod,Yes,"Aleksiuk, M. (1976). Reptilian hibernation: evidence of adaptive strategies in Thamnophis sirtalis parietalis. Copeia, 170-178.",hibernates up to 7 months of the year,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2500,Snake Database,NA,terrestrial,Thamnophis_sirtalis,"max, min",NA,NA
Terrestrial,Tiliqua,nigrolutea,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,36.8,Meiri 2008,max adult SVL,omnivore,http://australianmuseum.net.au/shingleback-lizard,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Price-Rees, S.J., Brown, G.P., Shine, R. (2013). Spatial ecology of bluetongue lizards (Tiliqua spp.) in the Australian wet-dry tropics. Austral ecology, 38, 5: 493-503.",walking,Squamate walking tetrapod,Yes,"Edwards, A., & Jones, S. M. (2001). Changes in plasma testosterone, estrogen, and progesterone concentrations throughout the annual reproductive cycle in male viviparous blue-tongued skinks, Tiliqua nigrolutea, in Tasmania. Journal of Herpetology, 293-299.",hibernation,No,no info - based on climate,,non-highland specialist,"http://www.rzsnsw.org.au/Volumes%20of%20RZS%20papers/1997%20vol%2030%283%29/Hancock%20L%20J%20Thompson%20M%20B%20Distributional%20limits%20of%20Eastern%20Blue-tongue%20Lizards%20Tiliqua%20scincoides,%20Blotched%20Blue-tongue%20Lizards%20T%20nigrolutea%20and%20Shingleback%20Lizard%20T%20rugosa%20%28Gray%29%20in%20New%20South%20Wales.pdf",NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Tiliqua_nigrolutea,"max, min",NA,NA
Terrestrial,Tiliqua,rugosa,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,35,Meiri 2008,max adult SVL,omnivore,10.1890/0012-9658(2002)083[1870:LHRREO]2.0.CO;2,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Price-Rees, S.J., Brown, G.P., Shine, R. (2013). Spatial ecology of bluetongue lizards (Tiliqua spp.) in the Australian wet-dry tropics. Austral ecology, 38, 5: 493-503.",walking,Squamate walking tetrapod,Yes,http://australianmuseum.net.au/shingleback-lizard,,No,no info - based on climate,,non-highland specialist,"http://www.rzsnsw.org.au/Volumes%20of%20RZS%20papers/1997%20vol%2030%283%29/Hancock%20L%20J%20Thompson%20M%20B%20Distributional%20limits%20of%20Eastern%20Blue-tongue%20Lizards%20Tiliqua%20scincoides,%20Blotched%20Blue-tongue%20Lizards%20T%20nigrolutea%20and%20Shingleback%20Lizard%20T%20rugosa%20%28Gray%29%20in%20New%20South%20Wales.pdf",NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Tiliqua_rugosa,"max, min",NA,NA
Terrestrial,Tiliqua,scincoides,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,37.1,Meiri 2008,max adult SVL,omnivore,http://australianmuseum.net.au/shingleback-lizard,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Price-Rees, S.J., Brown, G.P., Shine, R. (2013). Spatial ecology of bluetongue lizards (Tiliqua spp.) in the Australian wet-dry tropics. Austral ecology, 38, 5: 493-503.",walking,Squamate walking tetrapod,Yes,"Koenig, J., Shine, R., & Shea, G. (2002). Journal of Herpetology, 62-68.",,No,"Christian, K. A., J. K. Webb, and T. J. Schultz. 2003. Energetics of Bluetongue Lizards (Tiliqua scincoides) in a seasonal tropical environment. Oecologia 136:515äóñ523.",,non-highland specialist,"http://www.rzsnsw.org.au/Volumes%20of%20RZS%20papers/1997%20vol%2030%283%29/Hancock%20L%20J%20Thompson%20M%20B%20Distributional%20limits%20of%20Eastern%20Blue-tongue%20Lizards%20Tiliqua%20scincoides,%20Blotched%20Blue-tongue%20Lizards%20T%20nigrolutea%20and%20Shingleback%20Lizard%20T%20rugosa%20%28Gray%29%20in%20New%20South%20Wales.pdf",NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Tiliqua_scincoides,max,NA,NA
Terrestrial,Trachylepis,capensis,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,13.5,Meiri 2008,max adult SVL,omnivore,"guess based on others in genus (Rocha, C. F. D., Vrcibradic, D., Menezes, V. A., & Ariani, C. V. (2009). Ecology and natural history of the easternmost native lizard species in South America, Trachylepis atlantica (Scincidae), from the Fernando de Noronha Archipelago, Brazil. Journal of Herpetology, 450-459.)",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate,,No,no info - based on climate,,non-highland specialist,http://reptile-database.reptarium.cz/species?genus=Trachylepis&species=capensis&search_param=%28%28genus%3D%27trachylepis%27%29%29,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Trachylepis_capensis,max,NA,NA
Terrestrial,Trapelus,savignii,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Agamidae,9.225,Meiri 2008,max adult SVL,omnivore,"Walton, D. W. Ed. 1987. Fauna of Australia, Volume 1A. Australian Government Publishing Service, Canberra. ISBN 0-644-06055-17",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate (from the Leveant),,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Trapelus_savignii,"max, min",NA,NA
Terrestrial,Uma,inornata,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,12.4,Meiri 2008,max adult SVL,omnivore,"Durtsche, R.D. (1995) Foraging ecology of the fringe-toed lizard, Uma inornata, during periods of high and low food abundance. Copeia, 1995(4): 915 - 926.",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,NatureServe Explorer,walking,Squamate walking tetrapod,Yes,"Pough, F. H. (1973). Catalogue of American Amphibians and Reptiles (CAAR).",,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,490,NatureServe Explorer,NA,terrestrial,Uma_inornata,max,NA,NA
Terrestrial,Urosaurus,auriculatus,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,7.4,Meiri 2008,max adult SVL,insectivore,"Aspland, K. K. (1964). Seasonal variation in the diet of Urosaurus ornatus in a riparian community. Herpetologica, 91-94.",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info,,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Urosaurus_auriculatus,max,NA,NA
Terrestrial,Urosaurus,clarionensis,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,6,Meiri 2008,max adult SVL,insectivore,"Aspland, K. K. (1964). Seasonal variation in the diet of Urosaurus ornatus in a riparian community. Herpetologica, 91-94.",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info,,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Urosaurus_clarionensis,max,NA,NA
Terrestrial,Urosaurus,ornatus,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,5.087,Meiri 2008,max adult SVL,insectivore,"Aspland, K. K. (1964). Seasonal variation in the diet of Urosaurus ornatus in a riparian community. Herpetologica, 91-94.",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,NatureServe Explorer,walking,Squamate walking tetrapod,Yes,"Boykin, K., & Zucker, N. (1993). The Southwestern Naturalist, 38(3), 304-306.",,No,NatureServe Explorer,active in summer,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2770,NatureServe Explorer,NA,terrestrial,Urosaurus_ornatus,max,NA,NA
Terrestrial,Uta,stansburiana,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,4.617,Meiri 2008,max adult SVL,insectivore,"Best, Troy L.; A. L. Gennaro (September 1984). ""Feeding Ecology of the Lizard, Uta stansburiana, in Southeastern New Mexico"". Journal of Herpetology 18 (3): 291äóñ301.",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Tinkle, D. W., McGregor, D., & Dana, S. (1962). Home range ecology of Uta stansburiana stejnegeri. Ecology, 43(2), 223-229.",walking,Squamate walking tetrapod,Yes,"Wilson, B. S. (1992). Tail injuries increase the risk of mortality in free-living lizards (Uta stansburiana). Oecologia, 92(1), 145-152.",hibernation in some populations,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2750,NatureServe Explorer,NA,terrestrial,Uta_stansburiana,"max, min",NA,NA
Terrestrial,Varanus,gouldii,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Varanidae,38.515,Meiri 2008,max adult SVL,carnivore,King & Green 1979,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on congeners,,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,520,IUCN,NA,terrestrial,Varanus_gouldii,max,NA,NA
Terrestrial,Varanus,varius,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Varanidae,57,Meiri 2008,max adult SVL,carnivore,Weavers 1989,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",1-10,"Guarino, F. (2002). Spatial ecology of a large carnivorous lizard, Varanus varius (Squamata: Varanidae). Journal of Zoology, 258(4), 449-457.",walking,Squamate walking tetrapod,No,"Pascoe, J. H., Flesch, J. S., Duncan, M. G., Le Pla, M., & Mulley, R. C. (2019). Territoriality and seasonality in the home range of adult male free-ranging lace monitors (Varanus varius) in South-eastern Australia. Herpetological Conservation and Biology, 14(1), 97-104.",evidence suggests no hibernation,No,no info - based on climate,,non-highland specialist,https://collections.qm.qld.gov.au/objects/257835/varanus-varius,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Varanus_varius,"max, min",NA,NA
Terrestrial,Xantusia,henshawi,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,6.167,Meiri 2008,max adult SVL,omnivore,Brattstorm 1952,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,NatureServe Explorer,walking,Squamate walking tetrapod,No,no info - based on congenerss,,No,NatureServe Explorer,none reported,non-highland specialist,NatureServe Explorer,NA,terrestrial,NA,NA,NA,NA,terrestrial,120,2320,NatureServe Explorer,NA,terrestrial,Xantusia_henshawi,max,NA,NA
Terrestrial,Xantusia,riversiana,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,10.9,Meiri 2008,max adult SVL,omnivore,Brattstorm 1953,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Fellers, G. M., & Drost, C. A. (1991). Ecology of the island night lizard, Xantusia riversiana, on Santa Barbara Island, California. Herpetological Monographs, 28-78.",walking,Squamate walking tetrapod,No,"Mautz, W. J., & Nagy, K. A. (2000). Xantusiid lizards have low energy, water, and food requirements. Physiological and Biochemical Zoology, 73(4), 480-487.",evidence suggests no hibernation,No,no info - based on climate,,non-highland specialist,https://www.fws.gov/carlsbad/SpeciesStatusList/5YR/20121005_5YR_INL.pdf,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Xantusia_riversiana,"max, min",NA,NA
Terrestrial,Xantusia,vigilis,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,4.095,Meiri 2008,max adult SVL,omnivore,Brattstorm 1954,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Fellers, G. M., & Drost, C. A. (1991). Ecology of the island night lizard, Xantusia riversiana, on Santa Barbara Island, California. Herpetological Monographs, 28-78.",walking,Squamate walking tetrapod,No,"Cowles, R. B., & Burleson, G. L. (1945). The sterilizing effect of high temperature on the male germ-plasm of the yucca night lizard, Xantusia vigilis. The American Naturalist, 79(784), 417-435.",evidence suggests no hibernation,No,no info - based on climate,,non-highland specialist,"https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=2715#:~:text=This%20species%20is%20found%20at,(Macey%20and%20Papenfuss%201991).",NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Xantusia_vigilis,"max, min",NA,NA
