Genus,Species,Kingdom,Phylum,Class,Order,Family,limit_type,Tpref,n_tpref,ref_Tpref,ref_from_ref,notes_Tpref,Tb,n_Tb,ref_Tb,notes_Tb
Eremias,multiocellata,Animalia,Chordata,Reptilia,Squamata,Lacertidae,"max, min",35.26,12,Li_et_al_2009,,different acclimation temperatures,,,,
Eremias,multiocellata,Animalia,Chordata,Reptilia,Squamata,Lacertidae,"max, min",35.2,21,Li_et_al_2019,,,,,,
Ctenophorus,fordi,Animalia,Chordata,Reptilia,Squamata,Agamidae,max,NA,,,,,38.4,,Meiri_et_al_2018,
Ctenophorus,maculosus,Animalia,Chordata,Reptilia,Squamata,Agamidae,max,NA,,,,,38.4,,Meiri_et_al_2018,
Ctenophorus,nuchalis,Animalia,Chordata,Reptilia,Squamata,Agamidae,max,36.4,,Bradshaw_1988,Licht et al. 1996,,,,,
Ctenophorus,pictus,Animalia,Chordata,Reptilia,Squamata,Agamidae,max,NA,,,,,34.2,,Meiri_et_al_2018,
Ctenophorus,reticulatus,Animalia,Chordata,Reptilia,Squamata,Agamidae,max,36.9,,Clusella-Trullas_et_al_2011,,,35.5,,Meiri_et_al_2018,
Ctenotus,pantherinus,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,36.1,15,Gordon_et_al_2010,,,,,,
Eremiascincus,fasciolatus,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",24.4,10,Bennett_and_John-Alder_1986,,,,,,
Eremiascincus,fasciolatus,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",21.2,10,Bennett_and_John-Alder_1986,,,,,,
Ctenotus,spaldingi,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,,,,
Eulamprus,heatwolei,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",32.2,11,Schwarzkopf_and_Shine_1991,,,,,,
Eulamprus,kosciuskoi,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",29.8,8,Bennett_and_John-Alder_1986,,,,,,
Eulamprus,kosciuskoi,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",30.8,7,Bennett_and_John-Alder_1986,"Spellerberg, 1972c",,,,,
Eulamprus,kosciuskoi,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",30.84,21,Bell_et_al_2019,,,,,,
Cyclodomorphus,branchialis,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,34.7,,Meiri_et_al_2018,
Cyclodomorphus,melanops,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,34.8,,Meiri_et_al_2018,
Eulamprus,quoyii,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",28.8,7,Bennett_and_John-Alder_1986,,,,,,
Eulamprus,quoyii,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",31.1,23,Bennett_and_John-Alder_1986,"Vernon and Heatwole, 1970",,,,,
Eulamprus,quoyii,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",29.6,12,Bennett_and_John-Alder_1986,"Spellerberg, 1972c",,,,,
Eulamprus,quoyii,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",27.15,16,,,,,,,
Eulamprus,tympanum,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",29.6,8,Bennett_and_John-Alder_1986,,,,,,
Eulamprus,tympanum,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",29.8,16,Bennett_and_John-Alder_1986,"Spellerberg, 1972c",,,,,
Eulamprus,tympanum,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",29.1,16,Bennett_and_John-Alder_1986,"Vernon and Heatwole, 1970",,,,,
Gehyra,variegata,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,"max, min",35.3,7,Light_et_al_1966,,,,,,
Gehyra,variegata,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,"max, min",33.72,9,Angilletta_and_Werner_1998,,,,,,
Hemachatus,haemachatus,Animalia,Chordata,Reptilia,Squamata,Elapidae,"max, min",21,,Alexander_1996,,,,,,
Elgaria,coerulea,Animalia,Chordata,Reptilia,Squamata,Anguidae,max,20.1,25,Campbell_1981,,,,,,
Elgaria,coerulea,Animalia,Chordata,Reptilia,Squamata,Anguidae,max,23.7,15,Campbell_1981,,,,,,
Elgaria,coerulea,Animalia,Chordata,Reptilia,Squamata,Anguidae,max,24.8,15,Campbell_1981,,,,,,
Elgaria,coerulea,Animalia,Chordata,Reptilia,Squamata,Anguidae,max,27.8,15,Campbell_1981,,,,,,
Hemidactylus,frenatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,"max, min",31.7,21,Lapwong_et_al_2020,,,,,,
Hemidactylus,frenatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,"max, min",31.5,21,Lapwong_et_al_2020,,,,,,
Hemidactylus,frenatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,"max, min",31.2,19,Lapwong_et_al_2020,,,,,,
Hemidactylus,frenatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,"max, min",31.5,19,Lapwong_et_al_2020,,,,,,
Hemidactylus,frenatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,"max, min",24.9,16,Lapwong_et_al_2020,,,,,,
Hemidactylus,frenatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,"max, min",27.9,16,Lapwong_et_al_2020,,,,,,
Hemidactylus,frenatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,"max, min",29,20,Lapwong_et_al_2020,,,,,,
Hemidactylus,frenatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,"max, min",31,20,Lapwong_et_al_2020,,,,,,
Hemidactylus,frenatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,"max, min",26.3,11,Lapwong_et_al_2020,,,,,,
Hemidactylus,frenatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,"max, min",29.5,11,Lapwong_et_al_2020,,,,,,
Hemidactylus,frenatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,"max, min",28.7,20,Lapwong_et_al_2020,,,,,,
Hemidactylus,frenatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,"max, min",30,20,Lapwong_et_al_2020,,,,,,
Hemidactylus,turcicus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,"max, min",28.4,,Angilletta_et_al_1999,,,,,,
Hemiergis,decresiensis,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",24.8,,Huey_et_al_1987,,,,,,
Heteronotia,binoei,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,"max, min",30,6,Light_et_al_1966,,,,,,
Lacerta,agilis,Animalia,Chordata,Reptilia,Squamata,Lacertidae,"max, min",34.7,9,Bauwens_and_Garland_1995,,median Tb,,,,
Lampropholis,delicata,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",29.26,57,Merritt_et_al_2013,,,,,,
Lampropholis,delicata,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",25.84,28,Goulet_et_al_2016,,,,,,
Lampropholis,delicata,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",26.42,28,Goulet_et_al_2016,,,,,,
Lampropholis,delicata,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",26.58,22,Mathews_et_al_2016,,,,,,
Lampropholis,delicata,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",30.5,60,Downes_and_Hoefer_2008,,,,,,
Lampropholis,guichenoti,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",33.75,NA,Fraser_and_Grigg_1984,,,,,,
Eulamprus,murrayi,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,NA,,,
Lepidophyma,flavimaculatum,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,"max, min",NA,,,,,27.6,,,
Lepidophyma,flavimaculatum,Animalia,Chordata,Reptilia,Squamata,Xantusiidae,"max, min",NA,,,,,27.26,16,Arenas-Morena_et_al_2018,
Eulamprus,tenuis,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,27,14,Arenas-Morena_et_al_2018,
Liolaemus,abaucan,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",34.7,9,Cruz_et_al_2011,,,,,Meiri_et_al_2018,
Liolaemus,abaucan,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",35.184,16,Cruz_et_al_2014,,,,,,
Gambelia,wislizenii,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,min,NA,,,,,38.1,,Meiri_et_al_2018,
Liolaemus,albiceps,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",34.9,8,Cruz_et_al_2011,,,,,,
Liolaemus,albiceps,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",35.654,23,Cruz_et_al_2014,,,,,,
Liolaemus,albiceps,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",36.19,10,Valdecantosa_et_al_2013,,,,,,
Glaphyromorphus,punctulatus,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,,,,
Liolaemus,bibronii,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",35.14,7,Labra_et_al_2018,Labra_et_al_2009,,,,,
Liolaemus,bibronii,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",34.11,93,Medina_et_al_2009,,,,,,
Liolaemus,bibronii,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",8,34.519,Cruz_et_al_2014,,,,,,
Liolaemus,boulengeri,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",33.82,45,Medina_et_al_2011,,,,,,
Liolaemus,boulengeri,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",32.92,46,Medina_et_al_2011,,,,,,
Liolaemus,canqueli,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",35.2,16,Azocar_et_al_2013,,,,,,
Liolaemus,capillitas,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",NA,,,,,,,,
Hemiergis,quadrilineatum,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,27,4,Light_et_al_1966,,,,,,
Liolaemus,chacoensis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",32.8,44,Astudillo_et_al_2019,,,,,,
Liolaemus,chacoensis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",33.1,7,Cruz_et_al_2011,,,,,,
Liolaemus,chacoensis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",32.79,36,Cruz_et_al_2014,,,,,,
Holbrookia,maculata,Animalia,Chordata,Reptilia,Squamata,Iguanidae,max,NA,,,,,36.3,,Meiri_et_al_2018,
Hoplodactylus,maculatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,min,24.29,13,Rock_and_Cree_2008,,"average of values before and after implantation, across times of day",,,,
Hoplodactylus,maculatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,min,26.39,50,Tocher_1992,,different populations,,,,
Hoplodactylus,maculatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,min,24.87,54,Tocher_1992,,different populations,,,,
Hoplodactylus,maculatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,min,35.7,NA,Clarke_1963,,no sample size listed,,,,
Hoplodactylus,maculatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,min,23.6,13,Besson_and_Cree_2011,,,,,,
Hoplodactylus,maculatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,min,24.88,12,Rock_et_al_2000,,,,,,
Hoplodactylus,maculatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,min,24.66,12,Rock_et_al_2000,,,,,,
Hoplodactylus,maculatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,min,25.04,12,Rock_et_al_2000,,,,,,
Hoplodactylus,maculatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,min,24.51,15,Rock_et_al_2000,,,,,,
Hoplodactylus,maculatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,min,27.57,13,Rock_et_al_2000,,,,,,
Hoplodactylus,maculatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,min,24.24,12,Rock_et_al_2000,,,,,,
Hoplodactylus,maculatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,min,23.27,12,Rock_et_al_2000,,,,,,
Hoplodactylus,maculatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,min,21.01,12,Rock_et_al_2000,,,,,,
Hoplodactylus,maculatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,min,25.68,12,Rock_et_al_2000,,,,,,
Hoplodactylus,maculatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,min,22.05,4,Rock_et_al_2000,,,,,,
Hoplodactylus,maculatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,min,23.55,12,Rock_et_al_2000,,,,,,
Hoplodactylus,maculatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,min,21.86,10,Rock_et_al_2000,,,,,,
Liolaemus,cuyanus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",32.3,7,Cruz_et_al_2011,,,,,,
Liolaemus,cuyanus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",34.1,27,Azocar_et_al_2013,,,,,,
Lacerta,schreiberi,Animalia,Chordata,Reptilia,Squamata,Lacertidae,max,35.3,6,Bauwens_and_Garland_1995,,,,,,
Lampropeltis,zonata,Animalia,Chordata,Reptilia,Squamata,Colubridae,max,NA,,,,,,,,
Liolaemus,darwinii,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",33.6,10,Cruz_et_al_2011,,,,,,
Liolaemus,darwinii,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",34.821,16,Cruz_et_al_2014,,,,,,
Liolaemus,darwinii,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",34.889,33,Cruz_et_al_2014,,,,,,
Liolaemus,elongatus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",29.9,22,Ibarguengoytia_2005,,,,,,
Liolaemus,elongatus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",36.038,13,Cruz_et_al_2014,,,,,,
Liolaemus,elongatus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",36.41,10,Duran_et_al_2018,,,,,,
Liolaemus,fitzingerii,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",35.9,8,Azocar_et_al_2013,,,,,,
Liolaemus,fitzingerii,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",33.043,9,Cruz_et_al_2014,,,,,,
Lerista,frosti,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,,,,
Lerista,neander,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,,,,
Lerista,orientalis,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,,,,
Lerista,terdigitata,Animalia,Chordata,Reptilia,Squamata,Scincidae,max,NA,,,,,,,,
Liolaemus,irregularis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",35.8,4,Cruz_et_al_2011,,,,,,
Liolaemus,irregularis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",36.118,22,Cruz_et_al_2014,,,,,,
Liolaemus,irregularis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",36.41,10,Valdecantosa_et_al_2013,,,,,,
Liolaemus,irregularis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",36.16,12,Valdecantosa_et_al_2013,,,,,,
Liolaemus,irregularis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",36.57,5,Valdecantosa_et_al_2013,,,,,,
Liolaemus,irregularis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",35.37,10,Valdecantosa_et_al_2013,,,,,,
Liolaemus,kingii,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",34.801,7,Cruz_et_al_2014,,,,,,
Liolaemus,alticolor,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,32.92,15,Labra_et_al_2008,Labra_et_al_2009,,,,,
Liolaemus,alticolor,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,34.5,,Labra_et_al_2008,Marquet et al. 1989,,,,,
Liolaemus,koslowskyi,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",34.1,10,Cruz_et_al_2011,,,,,,
Liolaemus,koslowskyi,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",34.688,36,Cruz_et_al_2014,,,,,,
Liolaemus,bisignatus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,34.75,13,Labra_et_al_2008,Labra_et_al_2009,,,,,
Liolaemus,kriegi,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",33.89,,Labra_et_al_2008,Este articulo,,,,,
Liolaemus,kriegi,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",35.171,15,Cruz_et_al_2014,,,,,,
Liolaemus,laurenti,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",34.5,7,Cruz_et_al_2011,,,,,,
Liolaemus,laurenti,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",35.314,22,Cruz_et_al_2014,,,,,,
Liolaemus,melanops,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",36,6,Azocar_et_al_2013,,,,,,
Liolaemus,multicolor,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",34.875,3,Cruz_et_al_2014,,,,,,
Liolaemus,multicolor,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",35.19,12,Valdecantosa_et_al_2013,,,,,,
Liolaemus,chiliensis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,35.16,6,Labra_et_al_2008,Labra_et_al_2009,,,,,
Liolaemus,constanzae,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,34.31,11,Labra_et_al_2008,Labra_et_al_2001,,,,,
Liolaemus,curis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,35.9,3,Labra_et_al_2009,,,,,,
Liolaemus,multimaculatus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",35.37,13,Stellatelli_et_al_2013,,,,,,
Liolaemus,multimaculatus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",37.2,102,Stellatelli_et_al_2020,,multiple populations,,,,
Liolaemus,multimaculatus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",35.372,13,Cruz_et_al_2014,,,,,,
Liolaemus,cyanogaster,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,33.79,2,Labra_et_al_2008,Labra_et_al_2009,,,,,
Liolaemus,olongasta,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",35.4,10,Cruz_et_al_2011,,,,,,
Liolaemus,olongasta,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",33.78,32,Cruz_et_al_2014,,,,,,
Liolaemus,eleodori,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,NA,,,,,,,,
Liolaemus,petrophilus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",35.216,9,Cruz_et_al_2014,,,,,,
Liolaemus,fabiani,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,31.46,21,Labra_et_al_2008,Labra_et_al_2001,,,,,
Liolaemus,fabiani,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,32.7,15,Labra_et_al_2008,,,,,,
Liolaemus,fitzgeraldi,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,35.68,5,Labra_et_al_2008,Labra_et_al_2009,,,,,
Liolaemus,poecilochromus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",34.689,8,Cruz_et_al_2014,,,,,,
Liolaemus,fuscus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,35.3,5,Labra_and_Bozinovic_2002,,,,,,
Liolaemus,fuscus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,34.4,1,Labra_and_Bozinovic_2002,,,,,,
Liolaemus,hellmichi,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,33.69,5,Labra_et_al_2008,Labra_et_al_2009,,,,,
Liolaemus,pseudoanomalus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",33.403,16,Cruz_et_al_2014,,,,,,
Liolaemus,jamesi,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,32.94,18,Labra_et_al_2008,Labra_et_al_2009,,,,,
Liolaemus,jamesi,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,36,,Labra_et_al_2008,Marquet et al. 1989,,,,,
Liolaemus,quilmes,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",34.1,10,Cruz_et_al_2011,,,,,,
Liolaemus,quilmes,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",35.463,33,Cruz_et_al_2014,,,,,,
Liolaemus,riojanus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",36.196,3,Cruz_et_al_2014,,,,,,
Liolaemus,robertmertensi,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",NA,,,,,36.3,,Meiri_et_al_2018,
Liolaemus,rothi,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",33.287,3,Cruz_et_al_2014,,,,,,
Liolaemus,lemniscatus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,35.2,19,Labra_1998,,,,,,
Liolaemus,lemniscatus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,35.9,1,Labra_and_Bozinovic_2002,,pregnant,,,,
Liolaemus,leopardinus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,34.24,4,Labra_et_al_2008,Labra_et_al_2009,,,,,
Liolaemus,lorenzmuelleri,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,36.13,5,Labra_et_al_2008,Labra_et_al_2009,,,,,
Liolaemus,salinicola,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",34.258,8,Cruz_et_al_2014,,,,,,
Liolaemus,monticola,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,36.8,10,Labra_and_Bozinovic_2002,,not pregnant,,,,
Liolaemus,monticola,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,35.7,1,Labra_and_Bozinovic_2002,,pregnant,,,,
Liolaemus,scapularis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",32.98,10,Cruz_et_al_2014,,,,,,
Liolaemus,telsen,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",NA,,,,,,,,
Liolaemus,nigromaculatus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,35.12,6,Labra_et_al_2008,Labra_et_al_2009,,,,,
Liolaemus,nigroviridis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,36.31,10,Labra_et_al_2008,Labra_et_al_2009,,,,,
Liolaemus,nitidus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,35.7,12,Labra_1998,,,,,,
Liolaemus,xanthoviridis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",36.7,35.6,Azocar_et_al_2013,,,,,,
Liolaemus,xanthoviridis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,"max, min",33.673,7,Cruz_et_al_2014,,,,,,
Liolaemus,ornatus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,35.32,21,Labra_et_al_2008,Labra_et_al_2009,,,,,
Liolaemus,ornatus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,36.5,9,Cruz_et_al_2011,,,,,,
Liolaemus,ornatus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,36.248,15,Cruz_et_al_2014,,,,,,
Lophognathus,gilberti,Animalia,Chordata,Reptilia,Squamata,Agamidae,"max, min",NA,,,,,33.7,,Meiri_et_al_2018,
Liolaemus,pictus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,34.3,24,Labra_1998,,,,,,
Liolaemus,pictus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,36.6,27,Kubisch_et_al_2016,Gutierrez et al. 2010,,,,,
Liolaemus,pictus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,36.07,8,Kubisch_et_al_2016,,different acclimation temperatures,,,,
Liolaemus,pictus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,39.09,14,Kubisch_et_al_2016,,different acclimation temperatures,,,,
Liolaemus,pictus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,36.81,33,Artacho_et_al_2017,,different populations and sexes,,,,
Liolaemus,pictus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,36.03,34,Artacho_et_al_2017,,different populations and sexes,,,,
Liolaemus,pictus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,36.28,44,Artacho_et_al_2017,,different populations and sexes,,,,
Liolaemus,pictus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,36.06,37,Artacho_et_al_2017,,different populations and sexes,,,,
Liolaemus,pictus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,38.07,38,Artacho_et_al_2017,,different populations and sexes,,,,
Liolaemus,pictus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,37.75,38,Artacho_et_al_2017,,different populations and sexes,,,,
Liolaemus,platei,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,34.5,15,Labra_et_al_2008,Labra_et_al_2009,,,,,
Moloch,horridus,Animalia,Chordata,Reptilia,Squamata,Agamidae,"max, min",36.7,9,Light_et_al_1966,,,,,,
Nannoscincus,maccoyi,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",21,,Clusella-Trullas_et_al_2011,,,17.8,,Meiri_et_al_2018,
Liolaemus,pseudolemniscatus,Animalia,Chordata,Reptilia,Squamata,Iguanidae,min,34.6,7,Labra_et_al_2008,Labra_et_al_2009,,,,,
Niveoscincus,metallicus,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",29,,Clusella-Trullas_et_al_2011,,,32.2,,Meiri_et_al_2018,
Niveoscincus,ocellatus,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",30.16,5,Yuni_et_al_2018,,mean of lower and upper values in 25th percentile,,,,
Niveoscincus,ocellatus,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",31.48,5,Yuni_et_al_2018,,mean of lower and upper values in 25th percentile,,,,
Niveoscincus,ocellatus,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",29.63,5,Yuni_et_al_2018,,mean of lower and upper values in 25th percentile,,,,
Niveoscincus,ocellatus,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",30.85,5,Yuni_et_al_2018,,mean of lower and upper values in 25th percentile,,,,
Niveoscincus,ocellatus,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",29.12,5,Yuni_et_al_2018,,mean of lower and upper values in 25th percentile,,,,
Niveoscincus,ocellatus,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",31.03,5,Yuni_et_al_2018,,mean of lower and upper values in 25th percentile,,,,
Niveoscincus,ocellatus,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",29.18,5,Yuni_et_al_2018,,mean of lower and upper values in 25th percentile,,,,
Niveoscincus,ocellatus,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",3.98,5,Yuni_et_al_2018,,mean of lower and upper values in 25th percentile,,,,
Niveoscincus,ocellatus,Animalia,Chordata,Reptilia,Squamata,Scincidae,"max, min",28.78,5,Yuni_et_al_2018,,mean of lower and upper values in 25th percentile,,,,
