"range","sensitivity_type","limit_type","genus_species","source","realm","dormancy","filling_type","filling_value","lat_mp","range_area_km2","edge_type","type","Genus","Species","data_gatherer","habitat_data_gatherer","Kingdom","Phylum","Class","Order","Family","maximum_body_size_SVL_HBL_cm_","Source_for_maximum_body_size","notes_on_body_size_e_g_type_of_metric_","Trophic_position","Source_logic_for_trophic_position","migratory_","source_logic_for_migration_info","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_ability_category","logic_source_for_dispersal_type","cold_season_dormancy_","source_logic_for_cold_season_dormancy","notes_for_cold_season_dormancy","hot_season_dormancy_","source_logic_for_hot_season_dormancy","notes_for_hot_season_dormancy","highland_specialist","source_logic_for_highland_specialist","coastal_or_oceanic","notes_logic","coastal_or_oceanic_source","upper_depth_limit","lower_depth_limit","usual_range","depth_distribution_source","lower_elevation_limit_meters","upper_elevation_limit_meters","elevational_range_source","pelagic_habitat_for_marine_species","source_logic_for_pelagic_habitat","notes","newly_added","metric","dispersal_distance_continuous","abs_lat_mp","log_maximum_body_size","dispersal_ability_category_general","rr_cells","log_range_area"
"Bullia_rhodostoma_GBIF","acclimatized","tmax","Bullia_rhodostoma","GBIF","Marine","none","warm_under",-7.26,-30.3158505244786,32940,"warm","max","Bullia","rhodostoma","Jenn","Sarah","Animalia","Gastropoda","Neogastropoda","Nassariidae","Nassariidae",4,"McLachlan and van der Horst (1979) South African Journal of Zoology 14(1): 49-53","mean length after 10 years","omnivore","scavenger - McLachlan and van der Horst (1979) South African Journal of Zoology 14(1): 49-53","Non-migratory","taxa","100+","guess since non-pelagic larvae but high population connectivity - Muteveri, T., Matthee, C. A., Bowie, R. C. K., & von der Heyden, S. (2015). High population connectivity and Pleistocene range expansion in the direct-developing plough shell Bullia rhodostoma along the South African coast. African Journal of Marine Science, 37(1), 21-31.","non-pelagic development and crawling adults","benthic larvae - Harris, L. R., Abrahams, K., Bezuidenhout, K., & Nel, R. (2017). The relative role of intrinsic and extrinsic factors driving alongshore movement of swash-riding smooth plough shells, Bullia rhodostoma. Journal of experimental marine biology and ecology, 486, 77-86.","No","no info",NA,"No","no info",NA,NA,"marine","coastal","confined to intertidal slope","https://books.google.ca/books?id=LWAfWCcMoNUC&pg=PA366&lpg=PA366&dq=Bullia+rhodostoma+maximum+depth&source=bl&ots=1wQGIsFxFw&sig=ACfU3U3EWGvnLzZQhQoaR9vNNanGuZRlQw&hl=en&sa=X&ved=2ahUKEwjn_oLjxK3wAhWMMlkFHQKODGMQ6AEwCHoECAUQAw#v=onepage&q=Bullia%20rhodostoma%20maximum%20depth&f=false",NA,NA,NA,NA,NA,NA,"marine","benthic","sealifebase",NA,NA,"lt",1000,30.3158505244786,1.38629436111989,"non-pelagic",8,2.07944154167984
"Bullia_rhodostoma_GBIF","Te","tmax","Bullia_rhodostoma","GBIF","Marine","none","warm_under",-5.019998550415,-30.3158505244786,32940,"warm","max","Bullia","rhodostoma","Jenn","Sarah","Animalia","Gastropoda","Neogastropoda","Nassariidae","Nassariidae",4,"McLachlan and van der Horst (1979) South African Journal of Zoology 14(1): 49-53","mean length after 10 years","omnivore","scavenger - McLachlan and van der Horst (1979) South African Journal of Zoology 14(1): 49-53","Non-migratory","taxa","100+","guess since non-pelagic larvae but high population connectivity - Muteveri, T., Matthee, C. A., Bowie, R. C. K., & von der Heyden, S. (2015). High population connectivity and Pleistocene range expansion in the direct-developing plough shell Bullia rhodostoma along the South African coast. African Journal of Marine Science, 37(1), 21-31.","non-pelagic development and crawling adults","benthic larvae - Harris, L. R., Abrahams, K., Bezuidenhout, K., & Nel, R. (2017). The relative role of intrinsic and extrinsic factors driving alongshore movement of swash-riding smooth plough shells, Bullia rhodostoma. Journal of experimental marine biology and ecology, 486, 77-86.","No","no info",NA,"No","no info",NA,NA,"marine","coastal","confined to intertidal slope","https://books.google.ca/books?id=LWAfWCcMoNUC&pg=PA366&lpg=PA366&dq=Bullia+rhodostoma+maximum+depth&source=bl&ots=1wQGIsFxFw&sig=ACfU3U3EWGvnLzZQhQoaR9vNNanGuZRlQw&hl=en&sa=X&ved=2ahUKEwjn_oLjxK3wAhWMMlkFHQKODGMQ6AEwCHoECAUQAw#v=onepage&q=Bullia%20rhodostoma%20maximum%20depth&f=false",NA,NA,NA,NA,NA,NA,"marine","benthic","sealifebase",NA,NA,"lt",1000,30.3158505244786,1.38629436111989,"non-pelagic",8,2.07944154167984
"Calathus_melanocephalus_GBIF","acclimatized","tmin","Calathus_melanocephalus","GBIF","Terrestrial","none","cold_over",19.018467,55.9987250927998,3483961,"cold","min","Calathus","melanocephalus","Piero","Sarah","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae",0.74,"Blake et al. (1994) Pedobiologia 38(6): 502-512","mean length","carnivore","Ronning (2011) ""Sheep grazing effects on beetles (Coleoptera) in an alpine ecosystem"" (Master's thesis)","Non-migratory","beetle","0-1","Baars, M. A., & Van Dijk, T. S. (1984). Population Dynamics of Two Carabid Beetles at a Dutch Heathland: I. Subpopulation Fluctuations in Relation to Weather and Dispersal. The Journal of Animal Ecology, 375-388.","walking","beetle","No","no info","","No","no info","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",543,1000,"IUCN",NA,"terrestrial",NA,NA,"ct",1,55.9987250927998,-0.301105092783922,"walking",290,5.66988092298052
"Calathus_melanocephalus_GBIF","Te","tmin","Calathus_melanocephalus","GBIF","Terrestrial","none","cold_over",20.079167842865,55.9987250927998,3483961,"cold","min","Calathus","melanocephalus","Piero","Sarah","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae",0.74,"Blake et al. (1994) Pedobiologia 38(6): 502-512","mean length","carnivore","Ronning (2011) ""Sheep grazing effects on beetles (Coleoptera) in an alpine ecosystem"" (Master's thesis)","Non-migratory","beetle","0-1","Baars, M. A., & Van Dijk, T. S. (1984). Population Dynamics of Two Carabid Beetles at a Dutch Heathland: I. Subpopulation Fluctuations in Relation to Weather and Dispersal. The Journal of Animal Ecology, 375-388.","walking","beetle","No","no info","","No","no info","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",543,1000,"IUCN",NA,"terrestrial",NA,NA,"ct",1,55.9987250927998,-0.301105092783922,"walking",290,5.66988092298052
"Calyptotis_temporalis_IUCN","Te","tmax","Calyptotis_temporalis","IUCN","Terrestrial","none","warm_under",-15.6975955963135,-22.6552668229999,19704,"warm","max","Calyptotis","temporalis","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",3.6,"Meiri 2008","max adult SVL","insectivore","guess based on others in family","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate (australia)","","No","no info - based on climate","","non-highland specialist","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,22.6552668229999,1.28093384546206,"walking",5,1.6094379124341
"Camponotus_americanus_GBIF","acclimatized","tmax","Camponotus_americanus","GBIF","Terrestrial","none","warm_under",-6.92619,37.6724839315284,2255983,"warm","max","Camponotus","americanus","Piero","Sarah","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae",1,"https://web.archive.org/web/20110717084509/http://mississippientomologicalmuseum.org.msstate.edu/Researchtaxapages/Formicidaepages/genericpages/Camponotus.americanus.htm","maximum total length","omnivore","Hölldobler and Wilson (1990) ""The Ants"" Cambridge, MA: Belknap Press of Harvard University Press","Non-migratory","ant","0-1","guess since ant","walking","ant","No","no info","","No","no info","","","",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,37.6724839315284,0,"walking",260,5.56068163101553
"Camponotus_americanus_GBIF","Te","tmax","Camponotus_americanus","GBIF","Terrestrial","none","warm_under",-6.0700302124024,37.6724839315284,2255983,"warm","max","Camponotus","americanus","Piero","Sarah","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae",1,"https://web.archive.org/web/20110717084509/http://mississippientomologicalmuseum.org.msstate.edu/Researchtaxapages/Formicidaepages/genericpages/Camponotus.americanus.htm","maximum total length","omnivore","Hölldobler and Wilson (1990) ""The Ants"" Cambridge, MA: Belknap Press of Harvard University Press","Non-migratory","ant","0-1","guess since ant","walking","ant","No","no info","","No","no info","","","",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,37.6724839315284,0,"walking",260,5.56068163101553
"Camponotus_castaneus_GBIF","acclimatized","tmax","Camponotus_castaneus","GBIF","Terrestrial","none","warm_under",-7.89581,34.5889605467564,2230632,"warm","max","Camponotus","castaneus","Piero","Sarah","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae",1.1,"AntWiki","total length (male)","omnivore","Hölldobler and Wilson (1990) ""The Ants"" Cambridge, MA: Belknap Press of Harvard University Press","Non-migratory","ant","0-1","dispersed seeds several meters - Stuble, K. L., Patterson, C. M., Rodriguez-Cabal, M. A., Ribbons, R. R., Dunn, R. R., & Sanders, N. J. (2014). Ant-mediated seed dispersal in a warmed world. PeerJ, 2, e286.","walking","ant","No","no info","","No","no info","","","",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,34.5889605467564,0.0953101798043249,"walking",243,5.49306144334055
"Camponotus_castaneus_GBIF","Te","tmax","Camponotus_castaneus","GBIF","Terrestrial","none","warm_under",-4.7656135559082,34.5889605467564,2230632,"warm","max","Camponotus","castaneus","Piero","Sarah","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae",1.1,"AntWiki","total length (male)","omnivore","Hölldobler and Wilson (1990) ""The Ants"" Cambridge, MA: Belknap Press of Harvard University Press","Non-migratory","ant","0-1","dispersed seeds several meters - Stuble, K. L., Patterson, C. M., Rodriguez-Cabal, M. A., Ribbons, R. R., Dunn, R. R., & Sanders, N. J. (2014). Ant-mediated seed dispersal in a warmed world. PeerJ, 2, e286.","walking","ant","No","no info","","No","no info","","","",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,34.5889605467564,0.0953101798043249,"walking",243,5.49306144334055
"Camponotus_chromaiodes_GBIF","acclimatized","tmax","Camponotus_chromaiodes","GBIF","Terrestrial","none","warm_under",-8.7714,38.7569126921941,1496873,"warm","max","Camponotus","chromaiodes","Piero","Sarah","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae",1,"AntWiki","total length (male)","omnivore","Hölldobler and Wilson (1990) ""The Ants"" Cambridge, MA: Belknap Press of Harvard University Press","Non-migratory","ant","0-1","Mitchell, C. E., Turner, M. G., & Pearson, S. M. (2002). Ecological Applications, 12(5), 1364-1377.","walking","ant","No","no info","","No","no info","","","",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,38.7569126921941,0,"walking",180,5.19295685089021
"Camponotus_chromaiodes_GBIF","Te","tmax","Camponotus_chromaiodes","GBIF","Terrestrial","none","warm_under",-8.7714004516601,38.7569126921941,1496873,"warm","max","Camponotus","chromaiodes","Piero","Sarah","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae",1,"AntWiki","total length (male)","omnivore","Hölldobler and Wilson (1990) ""The Ants"" Cambridge, MA: Belknap Press of Harvard University Press","Non-migratory","ant","0-1","Mitchell, C. E., Turner, M. G., & Pearson, S. M. (2002). Ecological Applications, 12(5), 1364-1377.","walking","ant","No","no info","","No","no info","","","",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,38.7569126921941,0,"walking",180,5.19295685089021
"Camponotus_novaeboracensis_GBIF","acclimatized","tmax","Camponotus_novaeboracensis","GBIF","Terrestrial","none","warm_under",-7.315,45.0565535519507,7020834,"warm","max","Camponotus","novaeboracensis","Piero","Sarah","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae",0.8,"AntWiki","total length (male)","omnivore","Hölldobler and Wilson (1990) ""The Ants"" Cambridge, MA: Belknap Press of Harvard University Press","Non-migratory","ant","0-1","forage within 5m of nest - Diamond, S. E., Nichols, L. M., Pelini, S. L., Penick, C. A., Barber, G. W., Cahan, S. H., ... & Gotelli, N. J. (2016).Science Advances, 2(10), e1600842.","walking","ant","No","no info","","No","no info","","","",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,45.0565535519507,-0.22314355131421,"walking",871,6.7696419768525
"Camponotus_novaeboracensis_GBIF","Te","tmax","Camponotus_novaeboracensis","GBIF","Terrestrial","none","warm_under",-3.800521850586,45.0565535519507,7020834,"warm","max","Camponotus","novaeboracensis","Piero","Sarah","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae",0.8,"AntWiki","total length (male)","omnivore","Hölldobler and Wilson (1990) ""The Ants"" Cambridge, MA: Belknap Press of Harvard University Press","Non-migratory","ant","0-1","forage within 5m of nest - Diamond, S. E., Nichols, L. M., Pelini, S. L., Penick, C. A., Barber, G. W., Cahan, S. H., ... & Gotelli, N. J. (2016).Science Advances, 2(10), e1600842.","walking","ant","No","no info","","No","no info","","","",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,45.0565535519507,-0.22314355131421,"walking",871,6.7696419768525
"Camponotus_pennsylvanicus_GBIF","acclimatized","tmax","Camponotus_pennsylvanicus","GBIF","Terrestrial","none","warm_under",-5.54562,38.103998607173,5500284,"warm","max","Camponotus","pennsylvanicus","Piero","Sarah","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae",0.88,"Gripshover et al. (2018) Annals of the Entomological Society of America 111(6): 319-325","total length","omnivore","Hölldobler and Wilson (1990) ""The Ants"" Cambridge, MA: Belknap Press of Harvard University Press","Non-migratory","ant","0-1","foraging distance up to 34m - Buczkowski, G. (2011). Ecological Entomology, 36(1), 62-71.","walking","ant","No","no info","","No","no info","","","",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,38.103998607173,-0.127833371509885,"walking",614,6.41999492814714
"Camponotus_pennsylvanicus_GBIF","Te","tmax","Camponotus_pennsylvanicus","GBIF","Terrestrial","none","warm_under",-2.0305442810058,38.103998607173,5500284,"warm","max","Camponotus","pennsylvanicus","Piero","Sarah","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae",0.88,"Gripshover et al. (2018) Annals of the Entomological Society of America 111(6): 319-325","total length","omnivore","Hölldobler and Wilson (1990) ""The Ants"" Cambridge, MA: Belknap Press of Harvard University Press","Non-migratory","ant","0-1","foraging distance up to 34m - Buczkowski, G. (2011). Ecological Entomology, 36(1), 62-71.","walking","ant","No","no info","","No","no info","","","",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,38.103998607173,-0.127833371509885,"walking",614,6.41999492814714
"Carlia_longipes_IUCN","Te","tmax","Carlia_longipes","IUCN","Terrestrial","none","warm_under",-21.090124130249,-15.8228223039999,22642,"warm","max","Carlia","longipes","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",6.64,"Meiri 2008","max adult SVL","insectivore","guess based on others in family","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate (australia)","","No","no info - based on climate","","non-highland specialist","http://reptile-database.reptarium.cz/species?genus=Carlia&species=longipes",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,15.8228223039999,1.89311196348834,"walking",4,1.38629436111989
"Carlia_longipes_IUCN","Te_tpreftb","tmax","Carlia_longipes","IUCN","Terrestrial","none","warm_under",-9.4958183288574,-15.8228223039999,22642,"warm","max","Carlia","longipes","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",6.64,"Meiri 2008","max adult SVL","insectivore","guess based on others in family","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate (australia)","","No","no info - based on climate","","non-highland specialist","http://reptile-database.reptarium.cz/species?genus=Carlia&species=longipes",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,15.8228223039999,1.89311196348834,"walking",4,1.38629436111989
"Carlia_munda_IUCN","Te","tmax","Carlia_munda","IUCN","Terrestrial","none","perfect_warm",0,-19.6888496965,2697805,"warm","max","Carlia","munda","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",4.4,"Meiri 2008","max adult SVL","insectivore","guess based on others in family","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on congeners ","","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,19.6888496965,1.48160454092422,"walking",269,5.59471137960184
"Carlia_pectoralis_IUCN","Te","tmax","Carlia_pectoralis","IUCN","Terrestrial","none","warm_under",-5.7012062072753,-25.068747862,218220,"warm","max","Carlia","pectoralis","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",6.4,"Meiri 2008","max adult SVL","insectivore","guess based on others in family","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on congeners ","","No","no info - based on climate","","non-highland specialist","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,25.068747862,1.85629799036563,"walking",27,3.29583686600433
"Carlia_rhomboidalis_IUCN","Te","tmax","Carlia_rhomboidalis","IUCN","Terrestrial","none","warm_under",-22.2802295684814,-20.740629127,10993,"warm","max","Carlia","rhomboidalis","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",6.1,"Meiri 2008","max adult SVL","insectivore","guess based on others in family","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on congeners ","","No","no info - based on climate","","non-highland specialist","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,20.740629127,1.80828877117927,"walking",5,1.6094379124341
"Carlia_rhomboidalis_IUCN","Te_tpreftb","tmax","Carlia_rhomboidalis","IUCN","Terrestrial","none","warm_under",-12.1669021606445,-20.740629127,10993,"warm","max","Carlia","rhomboidalis","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",6.1,"Meiri 2008","max adult SVL","insectivore","guess based on others in family","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on congeners ","","No","no info - based on climate","","non-highland specialist","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,20.740629127,1.80828877117927,"walking",5,1.6094379124341
"Carlia_schmeltzi_GBIF","Te","tmax","Carlia_schmeltzi","GBIF","Terrestrial","none","warm_under",-5.0145645141601,-20.7669045955083,700737,"warm","max","Carlia","schmeltzi","Adam A","Nikki","Animalia","Chordata","Reptilia","Squamata","Scincidae",6.9,"Meiri 2008","max adult SVL","insectivore","no info - scincidae listed as insectivores on EOL","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate","","No","no info - based on climate","","No","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"",NA,"terrestrial",NA,"Y","ct",1,20.7669045955083,1.93152141160321,"walking",77,4.34380542185368
"Carlia_vivax_IUCN","Te","tmax","Carlia_vivax","IUCN","Terrestrial","none","warm_under",-5.6912498474122,-21.8256279164999,812224,"warm","max","Carlia","vivax","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",4.7,"Meiri 2008","max adult SVL","insectivore","guess based on others in family","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on congeners ","","No","no info - based on climate","","non-highland specialist","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,21.8256279164999,1.54756250871601,"walking",84,4.43081679884331
"Carlia_vivax_IUCN","Te_tpreftb","tmax","Carlia_vivax","IUCN","Terrestrial","none","warm_under",-5.6912498474122,-21.8256279164999,812224,"warm","max","Carlia","vivax","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",4.7,"Meiri 2008","max adult SVL","insectivore","guess based on others in family","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on congeners ","","No","no info - based on climate","","non-highland specialist","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"ct",1,21.8256279164999,1.54756250871601,"walking",84,4.43081679884331
"Cerastoderma_edule_GBIF","acclimatized","tmax, tmin","Cerastoderma_edule","GBIF","Intertidal","none","cold_over",10.37073,49.4578045850014,1730158,"cold","min","Cerastoderma","edule","Jenn","Nikki","Animalia","Mollusca","Bivalvia","Veneroida","Cardiidae",1.82,"Lehane and Davenport (2002) Journal of the Marine Biological Association of the United Kingdom 82(4): 615-619","mean shell length","omnivore","filter feeding class","Non-migratory","sessile","100+","guessed - Malham et al. (2012)  Journal of the Marine Biological Association of the United Kingdom 92: 1563–1584; planktonic duration 3-5 weeks","pelagic development and sessile adults","Shelagh et al. (2012) Journal of the Marine Biological Association of the United Kingdom 92(7):1563-1577","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,NA,"intertidal",NA,"intertidal",NA,0,-50,"","sealifebase",NA,NA,"intertidal","benthic",NA,NA,NA,NA,1000,49.4578045850014,0.598836501088704,"pelagic",125,4.8283137373023
"Cerastoderma_edule_GBIF","Te","tmax, tmin","Cerastoderma_edule","GBIF","Intertidal","none","cold_over",13.7888331413269,49.4578045850014,1730158,"cold","min","Cerastoderma","edule","Jenn","Nikki","Animalia","Mollusca","Bivalvia","Veneroida","Cardiidae",1.82,"Lehane and Davenport (2002) Journal of the Marine Biological Association of the United Kingdom 82(4): 615-619","mean shell length","omnivore","filter feeding class","Non-migratory","sessile","100+","guessed - Malham et al. (2012)  Journal of the Marine Biological Association of the United Kingdom 92: 1563–1584; planktonic duration 3-5 weeks","pelagic development and sessile adults","Shelagh et al. (2012) Journal of the Marine Biological Association of the United Kingdom 92(7):1563-1577","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,NA,"intertidal",NA,"intertidal",NA,0,-50,"","sealifebase",NA,NA,"intertidal","benthic",NA,NA,NA,NA,1000,49.4578045850014,0.598836501088704,"pelagic",125,4.8283137373023
"Cerastoderma_edule_GBIF","Te","tmax, tmin","Cerastoderma_edule","GBIF","Intertidal","none","warm_over",0.877120971679702,49.4578045850014,1730158,"warm","max","Cerastoderma","edule","Jenn","Nikki","Animalia","Mollusca","Bivalvia","Veneroida","Cardiidae",1.82,"Lehane and Davenport (2002) Journal of the Marine Biological Association of the United Kingdom 82(4): 615-619","mean shell length","omnivore","filter feeding class","Non-migratory","sessile","100+","guessed - Malham et al. (2012)  Journal of the Marine Biological Association of the United Kingdom 92: 1563–1584; planktonic duration 3-5 weeks","pelagic development and sessile adults","Shelagh et al. (2012) Journal of the Marine Biological Association of the United Kingdom 92(7):1563-1577","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,NA,"intertidal",NA,"intertidal",NA,0,-50,"","sealifebase",NA,NA,"intertidal","benthic",NA,NA,NA,NA,1000,49.4578045850014,0.598836501088704,"pelagic",125,4.8283137373023
"Cerastoderma_edule_GBIF","acclimatized","tmax, tmin","Cerastoderma_edule","GBIF","Intertidal","none","warm_under",-9.48099,49.4578045850014,1730158,"warm","max","Cerastoderma","edule","Jenn","Nikki","Animalia","Mollusca","Bivalvia","Veneroida","Cardiidae",1.82,"Lehane and Davenport (2002) Journal of the Marine Biological Association of the United Kingdom 82(4): 615-619","mean shell length","omnivore","filter feeding class","Non-migratory","sessile","100+","guessed - Malham et al. (2012)  Journal of the Marine Biological Association of the United Kingdom 92: 1563–1584; planktonic duration 3-5 weeks","pelagic development and sessile adults","Shelagh et al. (2012) Journal of the Marine Biological Association of the United Kingdom 92(7):1563-1577","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,NA,"intertidal",NA,"intertidal",NA,0,-50,"","sealifebase",NA,NA,"intertidal","benthic",NA,NA,NA,NA,1000,49.4578045850014,0.598836501088704,"pelagic",125,4.8283137373023
"Chamaeleo_dilepis_IUCN","Te","tmax, tmin","Chamaeleo_dilepis","IUCN","Terrestrial","cold","cold_over",12.8750758171082,-10.7012248919999,11046310,"cold","min","Chamaeleo","dilepis","Ignacio","Sarah","Animalia","Chordata","Reptilia","Squamata","Chamaeleonidae",8.7,"Meiri 2008","max adult SVL","insectivore","Reaney et al. 2012","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","1-10","O'Donoghue, T. L. (2019). Habitat utilisation of Flap-Necked Chameleons (Chamaeleo dilepis) on the Telperion Nature Reserve, Mpumalanga province, South Africa (Doctoral dissertation).","walking","Squamate walking tetrapod","Yes","O’Donoghue, T. L., Slater, K., & Brown, L. R. (2020). Seasonal habitat utilisation and morphological characteristics of Chamaeleo dilepis on Telperion Nature Reserve, Mpumalanga, South Africa. African Journal of Herpetology, 1-18.","assumed to go into brumination based on absence during cold period","No","no info - based on climate","","non-highland specialist","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,2600,"IUCN",NA,"terrestrial",NA,NA,NA,10,10.7012248919999,2.16332302566054,"walking",941,6.84694313958538
