"range","species","source","type","o_cells","u_cells","rr_cells","pr_cells","pol_fill","equ_fill","realm","range_area_km2","lat_mp","ctmax","ctmin","limit_type","metric","Genus","Species","data_gatherer","habitat_data_gatherer","Kingdom","Phylum","Class","Order","Family","maximum_body_size_SVL_HBL_cm_","Source_for_maximum_body_size","notes_on_body_size_e_g_type_of_metric_","Trophic_position","Source_logic_for_trophic_position","migratory_","source_logic_for_migration_info","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_","logic_source_for_dispersal_type","cold_season_dormancy_","source_logic_for_cold_season_dormancy","notes_for_cold_season_dormancy","hot_season_dormancy_","source_logic_for_hot_season_dormancy","notes_for_hot_season_dormancy","highland_specialist","source_logic_for_highland_specialist","coastal_or_oceanic","notes_logic","coastal_or_oceanic_source","upper_depth_limit","lower_depth_limit","usual_range","depth_distribution_source","lower_elevation_limit_meters","upper_elevation_limit_meters","elevational_range_source","pelagic_habitat_for_marine_species","source_logic_for_pelagic_habitat","notes","newly_added","log_range_area","log_maximum_body_size","abs_lat_mp","dispersal_distance_continuous","prop_unoccupied"
"Eremias_brenchleyi_IUCN","Eremias_brenchleyi","IUCN","acclimatized",0,1597,104,1701,0.0400815217391304,0.228,"Terrestrial",927318,35.5924158100001,46.22411,-7.373338,"tmax, tmin","ct","Eremias","brenchleyi","Miguel R.","Sarah","Animalia","Chordata","Reptilia","Squamata","Lacertidae",6.9,"Meiri 2008","max adult SVL","insectivore","guess based on others in genus","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","slithering","Squamate slithering tetrapod","Yes","Dasheng, Z., Degui, G., Shouchang, Z., Shuying, Z., Guohua, G., Guijuan, W., & Tao, G. (1999). A study on the changes in fat and hepatic glucogen of Eremias brenchleyi during hibernation. Journal of Xuzhou Normal University (Natural Science Edition), 17(3), 61-63.","hibernation","No","no info - based on climate","","non-highland specialist","Li, Xinghan, et al. ""Embryonic and post‐embryonic responses to high‐elevation hypoxia in a low‐elevation lizard."" Integrative Zoology (2020).",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",200,1000,"IUCN",NA,"terrestrial",NA,NA,4.64439089914137,1.93152141160321,35.5924158100001,1,0.93885949441505
"Eremias_brenchleyi_IUCN","Eremias_brenchleyi","IUCN","Te",23,707,104,788,0.063716814159292,0.201793721973094,"Terrestrial",927318,35.5924158100001,43.6,3.4,"tmax, tmin","ct","Eremias","brenchleyi","Miguel R.","Sarah","Animalia","Chordata","Reptilia","Squamata","Lacertidae",6.9,"Meiri 2008","max adult SVL","insectivore","guess based on others in genus","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","slithering","Squamate slithering tetrapod","Yes","Dasheng, Z., Degui, G., Shouchang, Z., Shuying, Z., Guohua, G., Guijuan, W., & Tao, G. (1999). A study on the changes in fat and hepatic glucogen of Eremias brenchleyi during hibernation. Journal of Xuzhou Normal University (Natural Science Edition), 17(3), 61-63.","hibernation","No","no info - based on climate","","non-highland specialist","Li, Xinghan, et al. ""Embryonic and post‐embryonic responses to high‐elevation hypoxia in a low‐elevation lizard."" Integrative Zoology (2020).",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",200,1000,"IUCN",NA,"terrestrial",NA,NA,4.64439089914137,1.93152141160321,35.5924158100001,1,0.897208121827411
"Eremias_multiocellata_IUCN","Eremias_multiocellata","IUCN","acclimatized",153,284,153,284,NA,NA,"Terrestrial",907461,47.168057483,43.72411,-1.773338,"tmax, tmin","ct","Eremias","multiocellata","Miguel R.","Sarah","Animalia","Chordata","Reptilia","Squamata","Lacertidae",7.8,"Meiri 2008","max adult SVL","insectivore","Zeng, Z. G., Bi, J. H., Li, S. R., Chen, S. Y., Pike, D. A., Gao, Y., & Du, W. G. (2014). Effects of habitat alteration on lizard community and food web structure in a desert steppe ecosystem. Biological Conservation, 179, 86-92.","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate slithering tetrapod","Yes","Zeng, Z. G., Bi, J. H., Li, S. R., Chen, S. Y., Pike, D. A., Gao, Y., & Du, W. G. (2014). Effects of habitat alteration on lizard community and food web structure in a desert steppe ecosystem. Biological Conservation, 179, 86-92.","inactive during winter","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",600,2700,"IUCN",NA,"terrestrial",NA,NA,5.03043792139244,2.05412373369555,47.168057483,1,1
"Eremias_multiocellata_IUCN","Eremias_multiocellata","IUCN","Te",153,42,153,42,NA,NA,"Terrestrial",907461,47.168057483,41.1,9,"tmax, tmin","ct","Eremias","multiocellata","Miguel R.","Sarah","Animalia","Chordata","Reptilia","Squamata","Lacertidae",7.8,"Meiri 2008","max adult SVL","insectivore","Zeng, Z. G., Bi, J. H., Li, S. R., Chen, S. Y., Pike, D. A., Gao, Y., & Du, W. G. (2014). Effects of habitat alteration on lizard community and food web structure in a desert steppe ecosystem. Biological Conservation, 179, 86-92.","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate slithering tetrapod","Yes","Zeng, Z. G., Bi, J. H., Li, S. R., Chen, S. Y., Pike, D. A., Gao, Y., & Du, W. G. (2014). Effects of habitat alteration on lizard community and food web structure in a desert steppe ecosystem. Biological Conservation, 179, 86-92.","inactive during winter","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",600,2700,"IUCN",NA,"terrestrial",NA,NA,5.03043792139244,2.05412373369555,47.168057483,1,1
"Eremiascincus_fasciolatus_IUCN","Eremiascincus_fasciolatus","IUCN","acclimatized",35,157,50,172,0.375,0.0670731707317073,"Terrestrial",434768,-23.202842195,43.4492,2.494948,"tmax, tmin","ct","Eremiascincus","fasciolatus","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",9.8,"Meiri 2008","max adult SVL","insectivore","guess based on others in family","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","James, C. D., & Losos, J. B. (1991). Diet and reproductive biology of the Australian sand-swimming lizards, Eremiascincus (Scincidae). Wildlife Research, 18(6), 641-653.","walking","Squamate walking tetrapod","No","no info - based on climate","","No","no info - based on climate","","non-highland specialist","http://www.arod.com.au/arod/reptilia/Squamata/Scincidae/Eremiascincus",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,3.91202300542815,2.28238238567653,23.202842195,1,0.912790697674419
"Eremiascincus_fasciolatus_IUCN","Eremiascincus_fasciolatus","IUCN","Te",42,115,50,123,0.5,0.0504201680672269,"Terrestrial",434768,-23.202842195,41.2,9,"tmax, tmin","ct","Eremiascincus","fasciolatus","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",9.8,"Meiri 2008","max adult SVL","insectivore","guess based on others in family","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","James, C. D., & Losos, J. B. (1991). Diet and reproductive biology of the Australian sand-swimming lizards, Eremiascincus (Scincidae). Wildlife Research, 18(6), 641-653.","walking","Squamate walking tetrapod","No","no info - based on climate","","No","no info - based on climate","","non-highland specialist","http://www.arod.com.au/arod/reptilia/Squamata/Scincidae/Eremiascincus",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,3.91202300542815,2.28238238567653,23.202842195,1,0.934959349593496
"Eremiascincus_richardsoni_GBIF","Eremiascincus_richardsoni","GBIF","acclimatized",345,33,595,283,0.924528301886792,0.885375494071146,"Terrestrial",6214056,-25.3522748898709,44.2492,0.7949482,"tmax, tmin","ct","Eremiascincus","richardsoni","Adam A","Nikki","Animalia","Chordata","Reptilia","Squamata","Scincidae",12.7,"Meiri 2008","max adult SVL","insectivore","James, C. D., & Losos, J. B. (1991). Wildlife Research, 18(6), 641-653.","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate (australia)","","No","no info - based on climate","","non-highland specialist","http://www.arod.com.au/arod/reptilia/Squamata/Scincidae/Eremiascincus",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"",NA,"terrestrial",NA,"Y",6.38856140554563,2.54160199346455,25.3522748898709,1,0.11660777385159
"Eremiascincus_richardsoni_GBIF","Eremiascincus_richardsoni","GBIF","Te",438,27,595,184,1,0.834355828220859,"Terrestrial",6214056,-25.3522748898709,42,7.3,"tmax, tmin","ct","Eremiascincus","richardsoni","Adam A","Nikki","Animalia","Chordata","Reptilia","Squamata","Scincidae",12.7,"Meiri 2008","max adult SVL","insectivore","James, C. D., & Losos, J. B. (1991). Wildlife Research, 18(6), 641-653.","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate (australia)","","No","no info - based on climate","","non-highland specialist","http://www.arod.com.au/arod/reptilia/Squamata/Scincidae/Eremiascincus",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,"",NA,"terrestrial",NA,"Y",6.38856140554563,2.54160199346455,25.3522748898709,1,0.146739130434783
"Eulamprus_heatwolei_IUCN","Eulamprus_heatwolei","IUCN","Te",14,508,33,527,0.377777777777778,0.00803212851405622,"Terrestrial",159610,-34.2702558534999,39.5,5.3,"tmax, tmin","ct","Eulamprus","heatwolei","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",10,"Meiri 2008","max adult SVL","insectivore","guess based on others in family","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","Morrison, S. F., Scott Keogh, J., & Scott, I. A. W. (2002). Molecular determination of paternity in a natural population of the multiply mating polygynous lizard Eulamprus heatwolei. Molecular Ecology, 11(3), 535-545.","walking","Squamate walking tetrapod","Yes","Head, M. L., Keogh, J. S., & Doughty, P. (2005). Male southern water skinks (Eulamprus heatwolei) use both visual and chemical cues to detect female sexual receptivity. Acta Ethologica, 8(2), 79-85","hibernation","No","no info - based on climate","","non-highland specialist","http://www.arod.com.au/arod/reptilia/Squamata/Scincidae/Eulamprus/",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,3.49650756146648,2.30258509299405,34.2702558534999,1,0.963946869070209
"Eulamprus_kosciuskoi_IUCN","Eulamprus_kosciuskoi","IUCN","Te",6,60,14,68,0.153846153846154,0.0930232558139535,"Terrestrial",30782,-32.888888365,40.2,2.5,"tmax, tmin","ct","Eulamprus","kosciuskoi","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",8.5,"Meiri 2008","max adult SVL","insectivore","guess based on others in family","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","no info - based on congeners","","No","no info - based on climate","","highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",1000,NA,"IUCN",NA,"terrestrial",NA,NA,2.63905732961526,2.14006616349627,32.888888365,1,0.88235294117647
"Eulamprus_quoyii_IUCN","Eulamprus_quoyii","IUCN","Te",36,473,120,557,0.277056277056277,0.068870523415978,"Terrestrial",1004307,-27.003083467,39.8,6,"tmax, tmin","ct","Eulamprus","quoyii","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",12.7,"Meiri 2008","max adult SVL","insectivore","guess based on others in family","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Law, B. S., & Bradley, R. A. (1990). Habitat use and basking site selection in the water skink, Eulamprus quoyii. Journal of Herpetology, 235-240.","hibernation","No","no info - based on climate","","non-highland specialist","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,4.78749174278205,2.54160199346455,27.003083467,1,0.8491921005386
"Eulamprus_tympanum_IUCN","Eulamprus_tympanum","IUCN","Te",4,458,34,488,0.590909090909091,0.0153508771929825,"Terrestrial",243224,-35.9448393169999,39,2.5,"tmax, tmin","ct","Eulamprus","tympanum","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Scincidae",9.7,"Meiri 2008","max adult SVL","insectivore","guess based on others in family","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","Yes","Langkilde, T., O'Connor, D., & Shine, R. (2003). Shelter-site use by five species of montane scincid lizards in south-eastern Australia. Australian Journal of Zoology, 51(2), 175-186.","hibernation","No","no info - based on climate","","non-highland specialist","Based on range",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,3.52636052461616,2.27212588550934,35.9448393169999,1,0.938524590163934
"Eurycea_bislineata_IUCN","Eurycea_bislineata","IUCN","acclimatized",31,991,166,1126,0.189448441247002,0.078984485190409,"Terrestrial",1198568,44.3903927350001,39.39181,-5.824376,"tmax, tmin","ct","Eurycea","bislineata","Micky","Sarah","Animalia","Chordata","Amphibia","Caudata","Plethodontidae",12.3,"AmphibiaWeb","max adult SVL","insectivore","ADW","Non-migratory","Krolik, K. A. (2017). Road Salt Impact on a Stream-Dwelling Salamander, Eurycea bislineata: A Low Threshold for Behavioral and Physiological Effects. - migrate but 100m only","0-1","Johnson, J. E. and Goldberg, A. S. 1975. Movement of larval two lined salamanders (Eurycea bislineata ) in the Mill River, Massachusetts. Copeia 1975: 588 -589.","walking","salamander","Yes","ADW","""may remain active in springs streams or water laden soil where temperatures are above freezing in winter months. Alternatively adults may burrow deep into leaf litter becoming inactive during cold seasons"" happens when below 7 degrees (DOI: 10.2307/1563609)","No","no info - based on climate","","non-highland specialist","AmphibiaWeb",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,5.11198778835654,2.50959926237837,44.3903927350001,1,0.880106571936057
"Eurycea_bislineata_IUCN","Eurycea_bislineata","IUCN","Te",57,817,166,926,0.196610169491525,0.080824088748019,"Terrestrial",1198568,44.3903927350001,35,-2,"tmax, tmin","ct","Eurycea","bislineata","Micky","Sarah","Animalia","Chordata","Amphibia","Caudata","Plethodontidae",12.3,"AmphibiaWeb","max adult SVL","insectivore","ADW","Non-migratory","Krolik, K. A. (2017). Road Salt Impact on a Stream-Dwelling Salamander, Eurycea bislineata: A Low Threshold for Behavioral and Physiological Effects. - migrate but 100m only","0-1","Johnson, J. E. and Goldberg, A. S. 1975. Movement of larval two lined salamanders (Eurycea bislineata ) in the Mill River, Massachusetts. Copeia 1975: 588 -589.","walking","salamander","Yes","ADW","""may remain active in springs streams or water laden soil where temperatures are above freezing in winter months. Alternatively adults may burrow deep into leaf litter becoming inactive during cold seasons"" happens when below 7 degrees (DOI: 10.2307/1563609)","No","no info - based on climate","","non-highland specialist","AmphibiaWeb",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,5.11198778835654,2.50959926237837,44.3903927350001,1,0.882289416846652
"Fundulus_parvipinnis_GBIF","Fundulus_parvipinnis","GBIF","acclimatized",0,9865,10,9875,0.00118273211117682,0.00083298625572678,"Marine",130676,31.2639506656813,41.2252,-3.577,"tmax, tmin","lt","Fundulus","parvipinnis","Sally","Sarah","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Fundulidae",10.8,"fishbase",NA,"omnivore","Hayman et al (2020) Journal of Experimental Marine Biology and Ecology 524: 151319","Non-migratory","no info","1-10","guess - short larval development, genetics suggest limited dispersal","non-pelagic development and crawling adults","Bernardi, G., & Talley, D. (2000). Genetic evidence for limited dispersal in the coastal California killifish, Fundulus parvipinnis. Journal of Experimental Marine Biology and Ecology, 255(2), 187-199.","No","unheard of for fish",NA,"No","unheard of for fish",NA,NA,"marine","coastal",NA,"fishbase",NA,NA,NA,NA,NA,NA,"marine","benthopelagic","fishbase",NA,NA,2.30258509299405,2.37954613413017,31.2639506656813,10,0.998987341772152
"Fundulus_parvipinnis_GBIF","Fundulus_parvipinnis","GBIF","Te",0,4705,10,4715,0.00732600732600733,0.00102669404517454,"Marine",130676,31.2639506656813,36.1,2.2,"tmax, tmin","lt","Fundulus","parvipinnis","Sally","Sarah","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Fundulidae",10.8,"fishbase",NA,"omnivore","Hayman et al (2020) Journal of Experimental Marine Biology and Ecology 524: 151319","Non-migratory","no info","1-10","guess - short larval development, genetics suggest limited dispersal","non-pelagic development and crawling adults","Bernardi, G., & Talley, D. (2000). Genetic evidence for limited dispersal in the coastal California killifish, Fundulus parvipinnis. Journal of Experimental Marine Biology and Ecology, 255(2), 187-199.","No","unheard of for fish",NA,"No","unheard of for fish",NA,NA,"marine","coastal",NA,"fishbase",NA,NA,NA,NA,NA,NA,"marine","benthopelagic","fishbase",NA,NA,2.30258509299405,2.37954613413017,31.2639506656813,10,0.997879109225875
"Gehyra_variegata_IUCN","Gehyra_variegata","IUCN","Te",124,212,176,264,0.4,0.188976377952756,"Terrestrial",1712604,-26.9579412934999,43.8,6,"tmax, tmin","ct","Gehyra","variegata","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Gekkonidae",7.1,"Meiri 2008","max adult SVL","insectivore","http://www.jstor.org/stable/1466967","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","Bustard, H. R. (1968). The ecology of the Australian gecko, Gehyra variegata, in northern New South Wales. Journal of Zoology, 154(1), 113-138.","no true hibernation","No","no info - based on climate","","non-highland specialist","http://www.arkive.org/variegated-dtella/gehyra-variegata/",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,5.17048399503815,1.96009478404727,26.9579412934999,1,0.803030303030303
"Halichoeres_dispilus_IUCN","Halichoeres_dispilus","IUCN","acclimatized",2,3335,50,3383,0.0210597826086957,0.00958627648839556,"Marine",1170380,6.60263096650004,39.12445,8.1005,"tmax, tmin","ct","Halichoeres","dispilus","Sally","Sarah","Animalia","Chordata","Actinopterygii","Perciformes","Labridae",25,"fishbase",NA,"carnivore","fishbase","Non-migratory","no info","100+","PLD 39.4 days - Victor, B. C., & Wellington, G. M. (2000). Endemism and the pelagic larval duration of reef fishes in the eastern Pacific Ocean. Marine Ecology Progress Series, 205, 241-248.","pelagic development and swimming adults","Victor, B. C., & Wellington, G. M. (2000). Endemism and the pelagic larval duration of reef fishes in the eastern Pacific Ocean. Marine Ecology Progress Series, 205, 241-248.","No","unheard of for fish",NA,"No","unheard of for fish",NA,NA,"marine","coastal",NA,"fishbase",-2,-76,NA,"fishbase",NA,NA,"marine","reef-associated","fishbase",NA,NA,3.91202300542815,3.2188758248682,6.60263096650004,1000,0.985811409991132
"Halichoeres_dispilus_IUCN","Halichoeres_dispilus","IUCN","Te",24,2811,50,2837,0.0157194679564692,0.00646766169154229,"Marine",1170380,6.60263096650004,35.8,15.6,"tmax, tmin","ct","Halichoeres","dispilus","Sally","Sarah","Animalia","Chordata","Actinopterygii","Perciformes","Labridae",25,"fishbase",NA,"carnivore","fishbase","Non-migratory","no info","100+","PLD 39.4 days - Victor, B. C., & Wellington, G. M. (2000). Endemism and the pelagic larval duration of reef fishes in the eastern Pacific Ocean. Marine Ecology Progress Series, 205, 241-248.","pelagic development and swimming adults","Victor, B. C., & Wellington, G. M. (2000). Endemism and the pelagic larval duration of reef fishes in the eastern Pacific Ocean. Marine Ecology Progress Series, 205, 241-248.","No","unheard of for fish",NA,"No","unheard of for fish",NA,NA,"marine","coastal",NA,"fishbase",-2,-76,NA,"fishbase",NA,NA,"marine","reef-associated","fishbase",NA,NA,3.91202300542815,3.2188758248682,6.60263096650004,1000,0.990835389495946
"Halozetes_belgicae_GBIF","Halozetes_belgicae","GBIF","acclimatized",0,724,0,724,NA,NA,"Intertidal",0,-62,37.47821,-5.134073,"tmax, tmin","lt","Halozetes","belgicae","Susana","Nikki","Animalia","Arthropoda","Arachnida","Acarina","Ameronothridae",0.07,"Cannon and Schenker (1985) Brit Antarct Surv Bull 67: 1-5","Body size is mean length","herbivore","Deere and Chown (2006) The American Naturalist 168: 630-644; Hawes et al. (2007). J. Exp. Biol. 210.; Feeds on lichens and/or algea.
593-601.","Non-migratory","taxa","0-1","oribatid mites have low dispersal ability generally - Stary and Block (1998) Journal of Natural History 32: 861-894","walking","mite","No","no info - based on taxa",NA,"No","no info - based on taxa",NA,NA,"intertidal",NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,"intertidal",NA,NA,"sealifebase says benthic",NA,-Inf,-2.65926003693278,62,1,1
"Halozetes_belgicae_GBIF","Halozetes_belgicae","GBIF","Te",0,724,0,724,NA,NA,"Intertidal",0,-62,40.1,-4.7,"tmax, tmin","lt","Halozetes","belgicae","Susana","Nikki","Animalia","Arthropoda","Arachnida","Acarina","Ameronothridae",0.07,"Cannon and Schenker (1985) Brit Antarct Surv Bull 67: 1-5","Body size is mean length","herbivore","Deere and Chown (2006) The American Naturalist 168: 630-644; Hawes et al. (2007). J. Exp. Biol. 210.; Feeds on lichens and/or algea.
593-601.","Non-migratory","taxa","0-1","oribatid mites have low dispersal ability generally - Stary and Block (1998) Journal of Natural History 32: 861-894","walking","mite","No","no info - based on taxa",NA,"No","no info - based on taxa",NA,NA,"intertidal",NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,"intertidal",NA,NA,"sealifebase says benthic",NA,-Inf,-2.65926003693278,62,1,1
"Hemachatus_haemachatus_IUCN","Hemachatus_haemachatus","IUCN","acclimatized",5,1909,63,1967,0.673076923076923,0.014025974025974,"Terrestrial",392531,-29.7209011155,46.76075,-4.279048,"tmax, tmin","ct","Hemachatus","haemachatus","Miguel R.","Sarah","Animalia","Chordata","Reptilia","Squamata","Elapidae",120,"Shine et al. (2006) Journal of Zoology 272(2): 183-193","max body length","carnivore","Shine et al. (2006) Journal of Zoology 272(2): 183-193","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","slithering","Squamate slithering tetrapod","No","Alexander, G. J., & Marshall, C. L. (1998). Diel activity patterns in a captive colony of Rinkhals, Hemachatus haemachatus. African Journal of Herpetology, 47(1), 29-32.","activty pattern does not change in winter","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,2500,"IUCN",NA,"terrestrial",NA,NA,4.14313472639153,4.78749174278205,29.7209011155,1,0.970513472292832
"Hemachatus_haemachatus_IUCN","Hemachatus_haemachatus","IUCN","Te",19,1653,63,1697,1,0.0125448028673835,"Terrestrial",392531,-29.7209011155,43.1,3.7,"tmax, tmin","ct","Hemachatus","haemachatus","Miguel R.","Sarah","Animalia","Chordata","Reptilia","Squamata","Elapidae",120,"Shine et al. (2006) Journal of Zoology 272(2): 183-193","max body length","carnivore","Shine et al. (2006) Journal of Zoology 272(2): 183-193","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","slithering","Squamate slithering tetrapod","No","Alexander, G. J., & Marshall, C. L. (1998). Diel activity patterns in a captive colony of Rinkhals, Hemachatus haemachatus. African Journal of Herpetology, 47(1), 29-32.","activty pattern does not change in winter","No","no info - based on climate","","non-highland specialist","IUCN",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,2500,"IUCN",NA,"terrestrial",NA,NA,4.14313472639153,4.78749174278205,29.7209011155,1,0.974071891573365
"Hemidactylus_frenatus_IUCN","Hemidactylus_frenatus","IUCN","Te",255,43,695,483,0.847328244274809,0.986842105263158,"Terrestrial",7536266,1.41776943200003,42.4,11.9,"tmax, tmin","ct","Hemidactylus","frenatus","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Gekkonidae",6.7,"Meiri 2008","max adult SVL","insectivore","http://biostor.org/reference/114380","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)","walking","Squamate walking tetrapod","No","no info - based on climate","","No","no info - based on climate","","non-highland specialist","Personal observation below 1000m",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",0,1600,"IUCN",NA,"terrestrial",NA,NA,6.54391184556479,1.90210752639692,1.41776943200003,1,0.0890269151138716
"Hemidactylus_turcicus_IUCN","Hemidactylus_turcicus","IUCN","Te",145,1844,213,1912,0.362068965517241,0.0253505933117584,"Terrestrial",1272674,29.275785593,41.1,10.5,"tmax, tmin","ct","Hemidactylus","turcicus","Adam A","Sarah","Animalia","Chordata","Reptilia","Squamata","Gekkonidae",6.1,"Meiri 2008","max adult SVL","insectivore","http://www.jstor.org/stable/1565688","Non-migratory","there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour","0-1","Locey, K. J., & Stone, P. A. (2006). Factors affecting range expansion in the introduced Mediterranean gecko, Hemidactylus turcicus. Journal of Herpetology, 40(4), 526-530.","walking","Squamate walking tetrapod","Yes","http://fieldherping.eu/Forum/viewtopic.php?f=15&t=975","","No","no info - based on climate","","non-highland specialist","Personal observation below 1000m",NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,NA,NA,"terrestrial",NA,NA,5.36129216570943,1.80828877117927,29.275785593,1,0.964435146443515
